ST_CODE,PC_NAME,ST_NAME,CAND_NAME,PARTYABBRE,YEAR,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
S04,Madhepura,BIHAR,Sharad Yadav,JD(U),1999,21,GEN,7,M,328761
S04,Araria,BIHAR,Sukdeo Paswan,RJD,1999,22,SC,7,M,308579
S04,Kishanganj,BIHAR,Syed Shahnawaz Hussain,BJP,1999,23,GEN,7,M,258035
S04,Purnea,BIHAR,Rajesh Ranjan,IND,1999,24,GEN,7,M,438193
S04,Katihar,BIHAR,Nikhil Kumar Choudhary,BJP,1999,25,GEN,7,M,280911
S04,Rajmahal,BIHAR,Thomas Hansda,INC,1999,26,ST,7,M,250298
S04,Dumka,BIHAR,Babu Lal Marandi,BJP,1999,27,ST,7,M,201141
S04,Godda,BIHAR,Jagdambi Prasad Yadav,BJP,1999,28,GEN,7,M,221191
S04,Banka,BIHAR,Digvijay Singh,JD(U),1999,29,GEN,7,M,233453
S04,Bhagalpur,BIHAR,Subodh Ray,CPM,1999,30,GEN,7,M,321159
S04,Khagaria,BIHAR,Renu Kumari,JD(U),1999,31,GEN,7,F,293412
S04,Monghyr,BIHAR,Brahma Nand Mandal,JD(U),1999,32,GEN,7,M,346615
S04,Begusarai,BIHAR,Rajo Singh,INC,1999,33,GEN,7,M,318244
S04,Nalanda,BIHAR,George Fernandes,JD(U),1999,34,GEN,7,M,464458
S04,Patna,BIHAR,C P Thakur,BJP,1999,35,GEN,7,M,379370
S04,Arrah,BIHAR,Ram Prasad Singh,RJD,1999,36,GEN,7,M,264140
S04,Buxar,BIHAR,Lal Muni Choubey,BJP,1999,37,GEN,7,M,235968
S04,Sasaram,BIHAR,Muni Lall,BJP,1999,38,SC,7,M,257223
S04,Bikramganj,BIHAR,Kanti Singh,RJD,1999,39,GEN,7,F,346259
S04,Aurangabad,BIHAR,Shyama Singh,INC,1999,40,GEN,7,F,317418
S04,Jahanabad,BIHAR,Arun Kumar,JD(U),1999,41,GEN,7,M,333332
S04,Nawada,BIHAR,Sanjay Paswan,BJP,1999,42,SC,7,M,453943
S04,Gaya,BIHAR,Ramji Manjhi,BJP,1999,43,SC,7,M,319530
S04,Chatra,BIHAR,Nagmani,RJD,1999,44,GEN,7,M,219783
S04,Kodarma,BIHAR,Tilakdhari Pd Singh,INC,1999,45,GEN,7,M,273808
S04,Giridih,BIHAR,Ravindra Kumar Pandey,BJP,1999,46,GEN,7,M,248454
S04,Dhanbad,BIHAR,Rita Verma,BJP,1999,47,GEN,7,F,366065
S04,Hazaribagh,BIHAR,Yashwant Sinha,BJP,1999,48,GEN,7,M,283956
S04,Ranchi,BIHAR,Ram Tahal Choudhary,BJP,1999,49,GEN,7,M,379261
S04,Jamshedpur,BIHAR,Abha Mahato,BJP,1999,50,GEN,7,F,285232
S04,Singhbhum,BIHAR,Laxman Gilua,BJP,1999,51,ST,7,M,231237
S04,Khunti,BIHAR,Kariya Munda,BJP,1999,52,ST,7,M,187484
S04,Lohardaga,BIHAR,Dukha Bhagat,BJP,1999,53,ST,7,M,163658
S04,Palamau,BIHAR,Braj Mohan Ram,BJP,1999,54,SC,7,M,271657
S06,Kutch,GUJARAT,Gadhvi Pushpadan Sambhudan,BJP,1999,1,GEN,7,M,191533
S06,Surendranagar,GUJARAT,Makwana Savshibhai Kanjibhai,INC,1999,2,GEN,7,M,244368
S06,Jamnagar,GUJARAT,Koradiya Chandreshbhai Valjibhai (Chandresh Patel),BJP,1999,3,GEN,7,M,190726
S06,Rajkot,GUJARAT,Dr Kathiriya Vallabhbhai Ramjibhai,BJP,1999,4,GEN,7,M,312941
S06,Porbandar,GUJARAT,Javiya Gordhanbhai Jadavbhai,BJP,1999,5,GEN,7,M,210627
S06,Junagadh,GUJARAT,Chikhaliya Bhavnaben Devrajbhai,BJP,1999,6,GEN,7,F,266809
S06,Amreli,GUJARAT,Dileep Sanghani,BJP,1999,7,GEN,7,M,217670
S06,Bhavnagar,GUJARAT,Rana Rajendrasinh Ghanshyamsinh (Rajubhai Rana),BJP,1999,8,GEN,7,M,265446
S06,Dhandhuka,GUJARAT,Varma Ratilal Kalidas,BJP,1999,9,SC,7,M,229754
S06,Ahmedabad,GUJARAT,Harin Pathak,BJP,1999,10,GEN,7,M,280696
