ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,PARTYABBRE,TOTVOTPOLL
S04,BIHAR,17,SAMASTIPUR,GEN,3,1998,AJIT KUMAR MEHTA,M,RJD,301099
S04,BIHAR,18,BARH,GEN,3,1998,NITISH KUMAR,M,SAP,356836
S04,BIHAR,19,BALIA,GEN,3,1998,RAJBANSHI MAHTO,M,RJD,240119
S04,BIHAR,20,SAHARSA,GEN,3,1998,ANUPLAL YADAV,M,RJD,259961
S04,BIHAR,21,MADHEPURA,GEN,3,1998,LALU PRASAD,M,RJD,297686
S04,BIHAR,22,ARARIA,SC,3,1998,RAMJE DAS RISHIDEO,M,BJP,309233
S04,BIHAR,23,KISHANGANJ,GEN,3,1998,TASLIM UDDIN,M,RJD,236744
S04,BIHAR,24,PURNEA,GEN,3,1998,JAY KRISHNA MANDAL,M,BJP,265096
S04,BIHAR,25,KATIHAR,GEN,3,1998,TARIQ ANAWAR,M,INC,337360
S04,BIHAR,26,RAJMAHAL,ST,3,1998,SOM MARANDI,M,BJP,198889
S04,BIHAR,27,DUMKA,ST,3,1998,BABU LAL MARANDI,M,BJP,277334
S04,BIHAR,28,GODDA,GEN,3,1998,JAGDAMBI PRASAD YADAV,M,BJP,334015
S04,BIHAR,29,BANKA,GEN,3,1998,DIGVIJAY SINGH,M,SAP,331660
S04,BIHAR,30,BHAGALPUR,GEN,3,1998,PRABHAS CHANDRA TIWARI,M,BJP,349463
S04,BIHAR,31,KHAGARIA,GEN,3,1998,SHAKUNI CHOUDHURY,M,SAP,333475
S04,BIHAR,32,MONGHYR,GEN,3,1998,"BIJOY KUMAR ""BIJOY""",M,RJD,350583
S04,BIHAR,33,BEGUSARAI,GEN,3,1998,RAJO SINGH,M,INC,296475
S04,BIHAR,34,NALANDA,GEN,3,1998,GEORGE FERNANDES,M,SAP,444784
S04,BIHAR,35,PATNA,GEN,3,1998,C.P.THAKUR,M,BJP,331860
S04,BIHAR,36,ARRAH,GEN,3,1998,H.P.SINGH,M,SAP,286286
S04,BIHAR,37,BUXAR,GEN,3,1998,LALMUNI CHAUBEY,M,BJP,266961
S04,BIHAR,38,SASARAM,SC,3,1998,MUNI LALL,M,BJP,282865
S04,BIHAR,39,BIKRAMGANJ,GEN,3,1998,BASHIST NARAYAN SINGH,M,SAP,301789
S04,BIHAR,40,AURANGABAD,GEN,3,1998,SUSHIL KUMAR SINGH,M,SAP,295449
S04,BIHAR,41,JAHANABAD,GEN,3,1998,SURENDRA PRASAD YADAV,M,RJD,355322
S04,BIHAR,42,NAWADA,SC,3,1998,MALTI DEVI,F,RJD,405495
S04,BIHAR,43,GAYA,SC,3,1998,KRISHNA KUMAR CHAUDHARY,M,BJP,303225
S04,BIHAR,44,CHATRA,GEN,3,1998,DHIRENDRA AGRAWAL,M,BJP,225086
S04,BIHAR,45,KODARMA,GEN,3,1998,RITLAL PRASAD VERMA,M,BJP,280635
S04,BIHAR,46,GIRIDIH,GEN,3,1998,RABINDRA KUMAR PANDEY,M,BJP,285523
S04,BIHAR,47,DHANBAD,GEN,3,1998,RITA VERMA,F,BJP,442590
S04,BIHAR,48,HAZARIBAGH,GEN,3,1998,YASHWANT SINHA,M,BJP,323283
S04,BIHAR,49,RANCHI,GEN,3,1998,RAMTAHAL CHOUDHARY,M,BJP,398022
S04,BIHAR,50,JAMSHEDPUR,GEN,3,1998,ABHA MAHATO,F,BJP,296686
S04,BIHAR,51,SINGHBHUM,ST,3,1998,VIJAY SINGH SOY,M,INC,186248
S04,BIHAR,52,KHUNTI,ST,3,1998,KARIYA MUNDA,M,BJP,200406
S04,BIHAR,53,LOHARDAGA,ST,3,1998,INDRA NATH BHAGAT,M,INC,233629
S04,BIHAR,54,PALAMAU,SC,3,1998,BRAJ MOHAN RAM,M,BJP,317513
S06,GUJARAT,1,KUTCH,GEN,3,1998,GADHVI PUSHPADAN SHAMBHUDAN,M,BJP,224795
S06,GUJARAT,2,SURENDRANAGAR,GEN,3,1998,DAVE BHAVNABEN KARDAMKUMAR,F,BJP,268819
S06,GUJARAT,3,JAMNAGAR,GEN,3,1998,KORADIA CHANDRESHBHAI VALJIBHAI  (CHANDRESH PATEL),M,BJP,231124
S06,GUJARAT,4,RAJKOT,GEN,3,1998,DR.KATHIRIYA VALLABHBHAI RAMJIBHAI,M,BJP,480316
S06,GUJARAT,5,PORBANDAR,GEN,3,1998,JAVIYA GORDHANBHAI JADAVBHAI,M,BJP,257516
S06,GUJARAT,6,JUNAGADH,GEN,3,1998,CHIKHALIYA BHAVANABEN DEVRAJBHAI,F,BJP,318667
S06,GUJARAT,7,AMRELI,GEN,3,1998,DILEEP SANGHANI,M,BJP,264814
S06,GUJARAT,8,BHAVNAGAR,GEN,3,1998,RANA RAJENDRASINH GHANSHYAMSINH (RAJUBHAI RANA),M,BJP,289344
S06,GUJARAT,9,DHANDHUKA,SC,3,1998,VARMA RATILAL KALIDAS,M,BJP,260061
S06,GUJARAT,10,AHMEDABAD,GEN,3,1998,HARIN PATHAK,M,BJP,350699
S06,GUJARAT,11,GANDHINAGAR,GEN,3,1998,ADVANI LALKRISHNA,M,BJP,541340
S06,GUJARAT,12,MEHSANA,GEN,3,1998,DR. A.K.PATEL,M,BJP,338368
