Constituency,State,MP,Party,Year
ADILABAD,Andhra, P.NARASA REDDY,INC,1989
AMALAPURAM (SC),Andhra, KUSUMA KRISHNA MURTY,INC,1989
ANAKAPALLI,Andhra, KONATHALA RAMAKRISHNA,INC,1989
ANANTAPUR,Andhra, ANANTHA VENKATA REDDY,INC,1989
BAPATLA,Andhra, SALAGALA BENJAMIN,INC,1989
BHADRACHALAM (ST),Andhra, KARIYEDDULA KAMALA KUMARI,INC,1989
BOBBILI,Andhra, KOMBURI RAM MOHAN RAO,TDP,1989
CHITTOOR,Andhra, GNANENDRA REDDY,INC,1989
CUDDAPAH,Andhra, Y.S.RAJASEKHAR REDDY,INC,1989
ELURU,Andhra, KRISHANA,INC,1989
GUNTUR,Andhra, N.G.RANGA,INC,1989
HANAMKONDA,Andhra, KAMALUDDIN AHMED,INC,1989
HINDUPUR,Andhra, S.GANGADHARA,INC,1989
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISI,MIM,1989
KAKINADA,Andhra, MALLIPUDI MANGAPATHI PALLAMRAJU,INC,1989
KARIMNAGAR,Andhra, CHOKKA RAO JUVVADI,INC,1989
KHAMMAM,Andhra, JALAGAM VENGAL RAO,INC,1989
KURNOOL,Andhra, KOTLA VIJAY BHASKARA REDDY,INC,1989
MACHILIPATNAM,Andhra, SAMBASIVARAO KAVURI,INC,1989
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC,1989
MEDAK,Andhra, BAGAREDDY M.,INC,1989
MIRYALGUDA ,Andhra,B.N.REDDY ,INC,1989
NAGARKURNOOL (SC),Andhra, ANATHA RAMULU MULLU,INC,1989
NALGONDA,Andhra, CHALILAM SRINIVASA RAO,INC,1989
NANDYAL,Andhra, BOJJA VENKATA REDDY,INC,1989
NARASAPUR,Andhra, BHUPATIRAJU VIJAYA KUMAR RAJU,TDP,1989
NARASARAOPET,Andhra, KASU VENKATA KRISHNA REDDY,INC,1989
NELLORE (SC),Andhra, PUTCHALAPALLI PENCHALAIAH,INC,1989
NIZAMABAD,Andhra, TADURI BALA GOUD,INC,1989
ONGOLE,Andhra, RAJAMOHANA REDDY MEKAPATI,INC,1989
PARVATHIPURAM (ST),Andhra, VIJAYARAMARAJU SATRUCHARLA,INC,1989
PEDDAPALLI (SC),Andhra, G.VENKAT SWAMY,INC,1989
RAJAHMUNDRY,Andhra, JAMUNA,INC,1989
RAJAMPET,Andhra, ANNAIAHGARI SAI PRATHAP,INC,1989
SECUNDERABAD,Andhra, T.MANEMMA,INC,1989
SIDDIPET (SC),Andhra, YELLAIAH NANDI,INC,1989
SRIKAKULAM ,Andhra,VISWANATHAM KANITHI,INC,1989
TENALI,Andhra, BASAVAPANNAYYA SINGAM,INC,1989
TIRUPATHI (SC),Andhra, CHINTA MOHAN,INC,1989
VIJAYAWADA,Andhra, CHENNUPATI VIDYA,INC,1989
VISAKHAPATNAM,Andhra, UMA GAJAPATHI RAJU POOSAPATI,INC,1989
WARANGAL,Andhra, SURENDER REDDY RAMASAHAYAM,INC,1989
ARARIA (SC),Bihar, SUKDEO PASWAN,JD,1989
ARRAH,Bihar, RAMESHWAR PRASAD,IPF,1989
AURANGABAD ,Bihar,RAM NARESH SINGH ,JD,1989
BAGAHA (SC),Bihar,MAHENDRA BAITHA ,JD,1989
BALIA,Bihar, SURYANARAYAN SINGH,CPI,1989
BANKA,Bihar, PRATAP SINGH,JD,1989
BARH,Bihar, NITISH KUMAR,JD,1989
BEGUSARAI,Bihar, LALIT VIJAY SINGH,JD,1989
BETTIAH,Bihar, DHARMESH PRASSAD VERMA,JD,1989
BHAGALPUR,Bihar, CHUN CHUN PRASAD YADAV,JD,1989
BIKRAMGANJ,Bihar, RAM PARSAD SINGH,JD,1989
BUXAR,Bihar, TEJ NARAIN SINGH,CPI,1989
CHAPRA,Bihar, LALOO PRASSAD,JD,1989
CHATRA,Bihar, UPENDER NATH VERMA,JD,1989
DARBHANGA,Bihar, SHAKEEUL RAHMAN,JD,1989
DHANBAD ,Bihar,A.K.ROY ,M-COR,1989
DUMKA (ST),Bihar, SHIBU SOHAN,JMM,1989
GAYA (SC),Bihar, INSWAR CHAUDHARY,JD,1989
GIRIDIH,Bihar, RAM DAS SINGH,BJP,1989
GODDA,Bihar, JANARDHAN YADAV,BJP,1989
GOPALGANJ,Bihar, RAJMANGAL MISHRA,JD,1989
HAJIPUR (SC),Bihar, RAM VILAS PASWAN,JD,1989
HAZARIBAGH,Bihar, YADUNATH PANDEY,BJP,1989
JAHANABAD,Bihar, RAMASHRAY PRASAD SINGH,CPI,1989
JAMSHEDPUR,Bihar, SHAILENDRA MAHTO,JMM,1989
JHANJHARPUR,Bihar, DEVANDRA PRASSAD YADAV,JD,1989
KATIHAR,Bihar, YUVARJ,JD,1989
KHAGARIA,Bihar, RAM SHARAN YADAV,JD,1989
KHUNTI (ST),Bihar, KARIA MUNDA,BJP,1989
KISHANGANJ,Bihar, M.J.AKBAR,INC,1989
KODARMA,Bihar, RITLAL PRASAD VERMA,BJP,1989
LOHARDAGA (ST),Bihar, SUMATI ORAON,INC,1989
MADHEPURA,Bihar, RAMESH KUMAR YADAV RAVI,JD,1989
MADHUBANI,Bihar, BHOGENDRA JHA,CPI,1989
MAHARAJGANJ,Bihar, CHANRASBEKHAR,JD,1989
MONGHYR,Bihar, DHANRAJ SINGH,JD,1989
MOTIHARI,Bihar, RADHA MOHAN SINGH,BJP,1989
MUZAFFARPUR,Bihar, GEORGE FARNANDES,JD,1989
