Constituency,State,MP,Party,Year
AZAMGARH,Uttar Pradesh, RAM KISHANA,BSP,1989
BAGHPAT,Uttar Pradesh, AJEET SINGH,JD,1989
BAHRAICH,Uttar Pradesh, ARIF MOHD. KHAN,JD,1989
BALLIA,Uttar Pradesh, CHANDRA SHEKHAR,JD,1989
BALRAMPUR,Uttar Pradesh, FASIURAAHMANALIYAS MUNNAN KHAN,IND,1989
BANDA,Uttar Pradesh, RAM SAJIWAN,CPI,1989
BANSGAON (SC),Uttar Pradesh, MAHABIR PRASAD,INC,1989
BAREILLY,Uttar Pradesh, SANTOSH KUMAR GANGWAR,BJP,1989
BASTI (SC),Uttar Pradesh, KALPA NATH SONAKAR,JD,1989
BIJNOR (SC),Uttar Pradesh, MAYAWATI,BSP,1989
BILHAUR,Uttar Pradesh, ARUN KUMAR NEHRU,JD,1989
BUDAUN,Uttar Pradesh, SHARAD YADAV,JD,1989
BULANDSHAHR,Uttar Pradesh, SARVAR HUSAIN,JD,1989
CHAIL,Uttar Pradesh, (SC) RAM NIHOR RAKESH,INC,1989
CHANDAULI,Uttar Pradesh, KAILASH NATH SINGH YADAV,JD,1989
DEORIA,Uttar Pradesh, RAJMANGAL,JD,1989
DOMARIAGANJ,Uttar Pradesh, BRIJ BHUSHAN TIWARI,JD,1989
ETAH,Uttar Pradesh, MAHADEEPK SINGH,BJP,1989
ETAWAH,Uttar Pradesh, RAM SINGH SHAKYA,JD,1989
FAIZABAD,Uttar Pradesh, MITRA SEN,CPI,1989
FATEHPUR,Uttar Pradesh, VISHWANATH PRATAP,JD,1989
FIROZABAD (SC),Uttar Pradesh, RAMJI LAL SUMAN,JD,1989
GARHWAL,Uttar Pradesh, CHANDRA MOHAN,JD,1989
GHATAMPUR (SC),Uttar Pradesh, KESHARI LAL,JD,1989
GHAZIPUR,Uttar Pradesh, JAGDISH,IND,1989
GHOSI,Uttar Pradesh, KALP NATH,INC,1989
GONDA,Uttar Pradesh, ANAND SINGH ALIAS ANNU BHAIYA,INC,1989
GORAKHPUR,Uttar Pradesh, AVEDYA NATH,HMS,1989
HAMIRPUR,Uttar Pradesh, GANGA CHARAN,JD,1989
HAPUR,Uttar Pradesh, K.C.TYAGI  (KISHAN CHAND),JD,1989
HARDOI (SC),Uttar Pradesh, PARMAI LAL,JD,1989
HATHRAS (SC),Uttar Pradesh, BANGALI SINGH,JD,1989
JALAUN (SC),Uttar Pradesh, RAM SEWAK BHATIYA,JD,1989
JALESAR,Uttar Pradesh, CH. MULTAN SIGNH,JD,1989
JAUNPUR,Uttar Pradesh, RAJA YADVENDRA DUTTA,BJP,1989
JHANSI,Uttar Pradesh, RAJENDRA AGNIHOTRI,BJP,1989
KAIRANA,Uttar Pradesh, HAR PAL,JD,1989
KAISERGANJ,Uttar Pradesh, RUDRA SEN CHAUDHARY,BJP,1989
KANNAUJ,Uttar Pradesh, CHHOTEY SINGH YADAV,JD,1989
KANPUR,Uttar Pradesh, SUBHASHINI ALI,CPM,1989
KHALILABAD,Uttar Pradesh, RAM PRASAD CHAUDHARY,JD,1989
KHERI,Uttar Pradesh, USHA VERMA,INC,1989
KHURJA (SC),Uttar Pradesh, BHAGWAN DASS,JD,1989
LALGANJ (SC),Uttar Pradesh, RAM DHAN,JD,1989
LUCKNOW,Uttar Pradesh, MANDHATA SINGH,JD,1989
MACHHLISHAHR,Uttar Pradesh, SHIV SHARAN VERMA,JD,1989
MAHARAJGANJ,Uttar Pradesh, HARSH VARDHAN,JD,1989
MAINPURI,Uttar Pradesh, UDAI PRATAP SINGH,JD,1989
MATHURA,Uttar Pradesh, MANVENDRA SINGH,JD,1989
MEERUT,Uttar Pradesh, HARISH PAL,JD,1989
MIRZAPUR,Uttar Pradesh, YUSA BEG,JD,1989
MISRIKH (SC),Uttar Pradesh, RAM LAL RAHI,INC,1989
MOHANLALGANJ (SC),Uttar Pradesh, SARJU PRASAD SAROJ,JD,1989
MORADABAD,Uttar Pradesh, GHULAM MOHD. KHAN HAJI,JD,1989
MUZAFFARNAGAR,Uttar Pradesh, MUFTI MOHAMMAD SAYEED,JD,1989
NAINITAL,Uttar Pradesh, MAHENDRA SINGH PAL,JD,1989
PADRAUNA,Uttar Pradesh, BALESHAR,JD,1989
PHULPUR,Uttar Pradesh, RAM PUJAN PATEL,JD,1989
PILIBHIT,Uttar Pradesh, MANEKA GANDHI,JD,1989
PRATAPGARH,Uttar Pradesh, RAJA DINESH SINGH,INC,1989
RAMPUR,Uttar Pradesh, ZULFIQAR ALI KHAN,INC,1989
ROBERTSGANJ (SC),Uttar Pradesh, SUBEDAR,BJP,1989
SAHARANPUR,Uttar Pradesh, RASHID MASOOD,JD,1989
SAIDPUR (SC),Uttar Pradesh, RAM RAGAR,BJP,1989
SALEMPUR,Uttar Pradesh, HARI KEWAL,JD,1989
SAMBHAL,Uttar Pradesh, S.P.YADAVA,JD,1989
SHAHABAD,Uttar Pradesh, DHARAMGAJ SINGH,INC,1989
SHAHJAHANPUR,Uttar Pradesh, SATAY PAL SINGH,JD,1989
SITAPUR,Uttar Pradesh, RAJENDRA KUMARI BAJPAI,INC,1989
SULTANPUR,Uttar Pradesh, RAM SINGH,JD,1989
UNNAO,Uttar Pradesh, ANWAR AHMAD,JD,1989
VARANASI,Uttar Pradesh, ANIL SHASTRI,JD,1989
TEHRI GARHWAL ,Uttar Pradesh,BRAHM DUTT ,INC,1989
RAE BARELI ,Uttar Pradesh,SHEILA KAUL ,INC,1989
BARA BANKI (SC) ,Uttar Pradesh,RAM SAGAR,JD,1989
FARRUKHABAD ,Uttar Pradesh,SANTOSH BHARTIYA ,JD,1989
HARDWAR (SC) ,Uttar Pradesh,JAGPAL SINGH,INC,1989
ASANSOL,West Bengal, HARADHAN ROY,CPM,1989
BALURGHAT (SC),West Bengal, PALAS BARMAN,RSP,1989
BANKURA,West Bengal, BASUDEB ACHARIA,CPM,1989
BARASAT,West Bengal, CHITTA BASU,FBL,1989
BARRACKPORE,West Bengal, TARIT BARAN TOPDER,CPM,1989
BOLPUR,West Bengal, CHATTERJEE SOMNATH,CPM,1989
BURDWAN,West Bengal, SUDHIR RAY,CPM,1989
CALCUTTA SOUTH,West Bengal, BIPLAB DASGUPTA,CPM,1989
CONTAI,West Bengal, SUDHIR GIRI,CPM,1989
DARJEELING,West Bengal, INDERJEET,GNLF,1989
DIAMOND HARBOUR,West Bengal, AMAL DATTA,CPM,1989
DUM DUM,West Bengal, NIRMAL KANTI CHATTERJEE,CPM,1989
DURGAPUR (SC),West Bengal, PURNA CHANDRA MALIK,CPM,1989
HOOGHLY,West Bengal, RUPCHAND PAL,CPM,1989
HOWRAH,West Bengal, SUSHANTA CHAKARBORTY,CPM,1989
JADAVPUR,West Bengal, MALINI BHATTACHARYA,CPM,1989
JALPAIGURI,West Bengal, MANIK SANYAL,CPM,1989
JANGIPUR,West Bengal, ABEDIN ZAINAL,CPM,1989
JHARGRAM (ST),West Bengal, MATILAL HANSDA,CPM,1989
JOYNAGAR (SC),West Bengal, SANAT KUMAR MANDAL,RSP,1989
KATWA,West Bengal, SAIFUDDIN CHAUDHURY,CPM,1989
KRISHNAGAR,West Bengal, AJOY MUKHERJEE,CPM,1989
MALDA,West Bengal, ABUL BARKAT ATAUL GHANI KHAN CHOUDHURY,INC,1989
MATHURAPUR (SC),West Bengal, RADHIKARANJAN PRAMANIK,CPM,1989
MIDNAPORE,West Bengal, INDRAJIT GUPTA,CPI,1989
MURSHIDABAD,West Bengal, MASUDAL HOSSAIN SYED,CPM,1989
NABADWIP (SC),West Bengal, ASIM BALA,CPM,1989
PANSKURA,West Bengal, GITA MUKHERJEE,CPI,1989
PURULIA,West Bengal, CHITTA RANJAN MAHATA,FBL,1989
RAIGANJ,West Bengal, GOLAM YAZDANI,INC,1989
TAMLUK,West Bengal, SATYAGOPAL MISTRA,CPM,1989
ULUBERIA,West Bengal, HANAN MOLLAH,CPM,1989
VISHNUPUR (SC),West Bengal, SUKHENDU KHAN,CPM,1989
COOCH BEHAR (SC) ,West Bengal,AMAR ROY PRADHAN ,FBL,1989
ALIPURDUARS (ST) ,West Bengal,PIUS TIRKEY ,RSP,1989
BERHAMPORE ,West Bengal,MANI BHATTACHARYA ,RSP,1989
BASIRHAT ,West Bengal,MONORANJAN SUR ,CPI,1989
CALCUTTA NORTH WEST ,West Bengal,DEBI PRASAD PAL ,INC,1989
CALCUTTA NORTH EAST ,West Bengal,AJIT KUMAR PANJA ,INC,1989
SERAMPORE ,West Bengal,SUDARSAN RAY CHOWDHURI ,CPM,1989
ARAMBAGH ,West Bengal,ANIL BASU ,CPM,1989
BIRBHUM (SC) ,West Bengal,DOME RAMCHANDRA  ,CPM,1989
ADILABAD,Andhra, P.NARASA REDDY,INC,1990
AMALAPURAM (SC),Andhra, KUSUMA KRISHNA MURTY,INC,1990
ANAKAPALLI,Andhra, KONATHALA RAMAKRISHNA,INC,1990
ANANTAPUR,Andhra, ANANTHA VENKATA REDDY,INC,1990
BAPATLA,Andhra, SALAGALA BENJAMIN,INC,1990
BHADRACHALAM (ST),Andhra, KARIYEDDULA KAMALA KUMARI,INC,1990
BOBBILI,Andhra, KOMBURI RAM MOHAN RAO,TDP,1990
CHITTOOR,Andhra, GNANENDRA REDDY,INC,1990
CUDDAPAH,Andhra, Y.S.RAJASEKHAR REDDY,INC,1990
ELURU,Andhra, KRISHANA,INC,1990
GUNTUR,Andhra, N.G.RANGA,INC,1990
HANAMKONDA,Andhra, KAMALUDDIN AHMED,INC,1990
HINDUPUR,Andhra, S.GANGADHARA,INC,1990
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISI,MIM,1990
KAKINADA,Andhra, MALLIPUDI MANGAPATHI PALLAMRAJU,INC,1990
KARIMNAGAR,Andhra, CHOKKA RAO JUVVADI,INC,1990
KHAMMAM,Andhra, JALAGAM VENGAL RAO,INC,1990
KURNOOL,Andhra, KOTLA VIJAY BHASKARA REDDY,INC,1990
MACHILIPATNAM,Andhra, SAMBASIVARAO KAVURI,INC,1990
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC,1990
MEDAK,Andhra, BAGAREDDY M.,INC,1990
MIRYALGUDA ,Andhra,B.N.REDDY ,INC,1990
NAGARKURNOOL (SC),Andhra, ANATHA RAMULU MULLU,INC,1990
NALGONDA,Andhra, CHALILAM SRINIVASA RAO,INC,1990
NANDYAL,Andhra, BOJJA VENKATA REDDY,INC,1990
NARASAPUR,Andhra, BHUPATIRAJU VIJAYA KUMAR RAJU,TDP,1990
NARASARAOPET,Andhra, KASU VENKATA KRISHNA REDDY,INC,1990
NELLORE (SC),Andhra, PUTCHALAPALLI PENCHALAIAH,INC,1990
NIZAMABAD,Andhra, TADURI BALA GOUD,INC,1990
ONGOLE,Andhra, RAJAMOHANA REDDY MEKAPATI,INC,1990
PARVATHIPURAM (ST),Andhra, VIJAYARAMARAJU SATRUCHARLA,INC,1990
PEDDAPALLI (SC),Andhra, G.VENKAT SWAMY,INC,1990
RAJAHMUNDRY,Andhra, JAMUNA,INC,1990
RAJAMPET,Andhra, ANNAIAHGARI SAI PRATHAP,INC,1990
SECUNDERABAD,Andhra, T.MANEMMA,INC,1990
SIDDIPET (SC),Andhra, YELLAIAH NANDI,INC,1990
SRIKAKULAM ,Andhra,VISWANATHAM KANITHI,INC,1990
TENALI,Andhra, BASAVAPANNAYYA SINGAM,INC,1990
TIRUPATHI (SC),Andhra, CHINTA MOHAN,INC,1990
VIJAYAWADA,Andhra, CHENNUPATI VIDYA,INC,1990
VISAKHAPATNAM,Andhra, UMA GAJAPATHI RAJU POOSAPATI,INC,1990
WARANGAL,Andhra, SURENDER REDDY RAMASAHAYAM,INC,1990
ARARIA (SC),Bihar, SUKDEO PASWAN,JD,1990
ARRAH,Bihar, RAMESHWAR PRASAD,IPF,1990
AURANGABAD ,Bihar,RAM NARESH SINGH ,JD,1990
BAGAHA (SC),Bihar,MAHENDRA BAITHA ,JD,1990
BALIA,Bihar, SURYANARAYAN SINGH,CPI,1990
BANKA,Bihar, PRATAP SINGH,JD,1990
BARH,Bihar, NITISH KUMAR,JD,1990
BEGUSARAI,Bihar, LALIT VIJAY SINGH,JD,1990
BETTIAH,Bihar, DHARMESH PRASSAD VERMA,JD,1990
BHAGALPUR,Bihar, CHUN CHUN PRASAD YADAV,JD,1990
BIKRAMGANJ,Bihar, RAM PARSAD SINGH,JD,1990
BUXAR,Bihar, TEJ NARAIN SINGH,CPI,1990
CHAPRA,Bihar, LALOO PRASSAD,JD,1990
CHATRA,Bihar, UPENDER NATH VERMA,JD,1990
DARBHANGA,Bihar, SHAKEEUL RAHMAN,JD,1990
DHANBAD ,Bihar,A.K.ROY ,M-COR,1990
DUMKA (ST),Bihar, SHIBU SOHAN,JMM,1990
GAYA (SC),Bihar, INSWAR CHAUDHARY,JD,1990
GIRIDIH,Bihar, RAM DAS SINGH,BJP,1990
GODDA,Bihar, JANARDHAN YADAV,BJP,1990
GOPALGANJ,Bihar, RAJMANGAL MISHRA,JD,1990
HAJIPUR (SC),Bihar, RAM VILAS PASWAN,JD,1990
HAZARIBAGH,Bihar, YADUNATH PANDEY,BJP,1990
JAHANABAD,Bihar, RAMASHRAY PRASAD SINGH,CPI,1990
JAMSHEDPUR,Bihar, SHAILENDRA MAHTO,JMM,1990
JHANJHARPUR,Bihar, DEVANDRA PRASSAD YADAV,JD,1990
KATIHAR,Bihar, YUVARJ,JD,1990
KHAGARIA,Bihar, RAM SHARAN YADAV,JD,1990
KHUNTI (ST),Bihar, KARIA MUNDA,BJP,1990
KISHANGANJ,Bihar, M.J.AKBAR,INC,1990
KODARMA,Bihar, RITLAL PRASAD VERMA,BJP,1990
LOHARDAGA (ST),Bihar, SUMATI ORAON,INC,1990
MADHEPURA,Bihar, RAMESH KUMAR YADAV RAVI,JD,1990
MADHUBANI,Bihar, BHOGENDRA JHA,CPI,1990
MAHARAJGANJ,Bihar, CHANRASBEKHAR,JD,1990
MONGHYR,Bihar, DHANRAJ SINGH,JD,1990
MOTIHARI,Bihar, RADHA MOHAN SINGH,BJP,1990
MUZAFFARPUR,Bihar, GEORGE FARNANDES,JD,1990
NALANDA,Bihar, RAM SAROOP PRASAD,INC,1990
NAWADA (SC),Bihar, PREM PARDEEP,CPM,1990
PALAMAU (SC) ,Bihar,JAORWAR RAM,JD,1990
PATNA,Bihar, SHAILENDRA NATH SRIVASTAVA,BJP,1990
PURNEA,Bihar, TASLIMUDIN,JD,1990
RAJMAHAL (ST),Bihar, SIMON MARANDI,JMM,1990
RANCHI,Bihar, SUBODH KANT SAHAY,JD,1990
ROSERA (SC),Bihar, DASHAI CHAUDHARY,JD,1990
SAHARSA,Bihar, SURYA NR. YADAV,JD,1990
SAMASTIPUR,Bihar, MANJAI LAL,JD,1990
SASARAM (SC),Bihar, CHHEDI PASWAN,JD,1990
SHEOHAR,Bihar, HARI KISHOR SINGH,JD,1990
SINGHBHUM (ST),Bihar, BAGUA SAMBURI,INC,1990
SITAMARHI,Bihar, HUKUMDEO NARAYAN YADAV,JD,1990
SIWAN,Bihar, JANARDAN TIWARI,BJP,1990
VAISHALI,Bihar, USHA SINGH,JD,1990
CHANDNI CHOWK,Delhi, JAI PRAKASH AGGARWAL,INC,1990
DELHI SADAR,Delhi, VIJAY KUMAR MALHOTRA,BJP,1990
EAST DELHI,Delhi, H. K. L. BHAGAT,INC,1990
KAROL BAGH (SC) ,Delhi,KALKA DASS ,BJP ,1990
NEW DELHI ,Delhi,LAL KRISHNA ADVANI ,BJP,1990
OUTER DELHI,Delhi, TARIF SINGH,JD,1990
SOUTH DELHI,Delhi, MADAN LAL KHURANA,BJP,1990
AHMEDABAD,Gujarat, HARIN PATHAK,BJP,1990
AMRELI,Gujarat, MANUBHAI KOTADIYA,JD,1990
ANAND,Gujarat, PATEL NATHUBHAI MANIBHAI,BJP,1990
BANASKANTHA,Gujarat, SHAH JAYANTILAL VIRCHANDBHAI,JD,1990
BARODA,Gujarat, KOKO ALIAS PRAKASH KANUBHAI BRAHMBHATT,JD,1990
BHAVNAGAR,Gujarat, JAMOD SHASHIKANT MAVJIBHAI,INC,1990
BROACH,Gujarat, DESHMUKH CHANDUBHAI SHAMBHAI,BJP,1990
BULSAR (ST),Gujarat, AJUNBHAI LALLUBHAI PATEL ,JD,1990
CHHOTA UDAIPUR (ST) ,Gujarat,RAHAWA NARANBHAI JAMALBHAI ,JD,1990
DHANDHUKA (SC),Gujarat, RATILAL KALIDAS VERMA,BJP,1990
DOHAD (ST),Gujarat, SOMAIBAHI DAMOR,INC,1990
GANDHINAGAR,Gujarat, VEGHELA SHANKARJI LAXMANJI,BJP,1990
GODHRA,Gujarat, PATEL SHANTILA PURUSHOTTAMDAS,JD,1990
JAMNAGAR ,Gujarat,KORADIYA CHANDRESH KUMAR VALJIBHAI (CHANDRESH PATEL) ,BJP,1990
JUNAGADH,Gujarat, SHEKHADA GOVINDHHAL KANJIBHAI,JD,1990
KAIRA,Gujarat, CHAUHAN PRABHATSINH HATHISINH,JD,1990
KAPADVANJ,Gujarat, GABHAJI MANGAJI THAKOR,BJP,1990
KUTCH ,Gujarat,BABU BHAI MEGHJI SHAH ,BJP,1990
MANDVI (ST) ,Gujarat,GHAMIT CHHITUBHAI DEVIBHAI ,INC,1990
MEHSANA,Gujarat, A.K.PATEL,BJP,1990
PATAN (SC),Gujarat, CHAWADA KHEM CHANDBHAI SOMABHAI,JD,1990
PORBANDAR,Gujarat, MANVAR BALVANTBHAI BACHUBHAI,JD,1990
RAJKOT ,Gujarat,VEKARIA SHIVLAL NAGIBHAI ,BJP,1990
SABARKANTHA,Gujarat, MAGANBHAI MANIBHAI PATEL,JD,1990
SURAT,Gujarat, KASHIRAM RANA,BJP,1990
SURENDRANAGAR,Gujarat, KOLI PATEL SOMABHAI GANDABHI,BJP,1990
AMBALA (SC) ,Haryana,RAM PARKASH ,INC,1990
BHIWANI,Haryana, BANSI LAL,INC,1990
FARIDABAD,Haryana, BHAJAN LAL,INC,1990
HISSAR,Haryana, JAI PARKASH,JD,1990
KARNAL,Haryana, CHIRANJIT LAL,INC,1990
KURUKSHETRA,Haryana, GURDIAL SINGH SAINI,JD,1990
MAHENDRAGARH,Haryana, BIRENDER SINGH,JD,1990
ROHTAK,Haryana, DEVI LAL,JD,1990
SIRSA (SC) ,Haryana,HET RAM ,JD,1990
SONEPAT,Haryana, KAPIL DEV,JD,1990
HAMIRPUR,Himachal Pradesh,THAKUR PREM KUMAR DHUMAL ,BJP,1990
KANGRA,Himachal Pradesh, SHANTA KUMAR,BJP,1990
MANDI,Himachal Pradesh, MAHESHWAR SINGH,BJP,1990
SIMLA (SC) ,Himachal Pradesh,KRISHAN DUTT SULTAN PURI ,INC,1990
BAGALKOT,Karnataka, PATIL SUBHASH TAMMANNAPPA,INC,1990
BANGALORE NORTH,Karnataka, C.K.JAFFER SHARIEFF,INC,1990
BANGALORE SOUTH,Karnataka, R.GUNDU RAO,INC,1990
BELGAUM,Karnataka, SIDNAL SHANMUKAPPA BASSAPPA,INC,1990
BELLARY,Karnataka, BASAVARAJESWERI,INC,1990
CHIKBALLAPUR,Karnataka, V.KRISHNA RAO,INC,1990
CHIKKODI (SC),Karnataka, B.SHANKARANAND,INC,1990
CHIKMAGALUR,Karnataka, D.M.PUTTE GOWDA,INC,1990
CHITRADURGA,Karnataka, C.P.MUDALAGIRIYAPPA,INC,1990
DAVANGERE,Karnataka, CHANNAIAH ODEYAR,INC,1990
DHARWAD NORTH,Karnataka, D.K.NAIKAR,INC,1990
DHARWAD SOUTH,Karnataka, MUJAHID B.M.,INC,1990
GULBARGA,Karnataka, B.G.JAWALI,INC,1990
HASSAN,Karnataka, H.C.SRIKANTAIAH,INC,1990
KANAKAPURA,Karnataka, M.V.CHANDRASHEKHARA MURTHY,INC,1990
KANARA,Karnataka, DEVARAY NAIK G,INC,1990
KOLAR (SC),Karnataka, Y.RAMAKRISHNA,INC,1990
KOPPAL,Karnataka, BASAVARAJ PATIL,JD,1990
MANDYA,Karnataka, G.MADE GOWDA,INC,1990
MANGALORE,Karnataka, JANARDHANA POOJARY,INC,1990
MYSORE,Karnataka, SRIKANTADATTA NARASIMBHARAJ WADEYAR,INC,1990
RAICHUR,Karnataka, R.AMBANNA NAIK DORE,INC,1990
SHIMOGA,Karnataka, T.V.CHANDRASHEKARAPPA,INC,1990
TUMKUR,Karnataka, G.S.BASAVARAJ,INC,1990
BIDAR (SC) ,Karnataka,NARSINGRAO SURYA VANSHI ,INC,1990
CHAMARAJANAGAR (SC) ,Karnataka,V.SRINIVASA PRASAD ,INC,1990
UDUPI ,Karnataka,OSCAR PERNANDES,INC,1990
BIJAPUR ,Karnataka,GUDADINNI BASAGONDAPPA KADAPPA ,INC,1990
ADOOR (SC),Kerala, KODIKUNNIL SURESH,INC,1990
ALLEPPEY,Kerala, VAKKOM PURUSHOTHAM,INC,1990
BADAGARA,Kerala, K. P. UNNIKRISHNAN,ICS(SCS),1990
CALICUT,Kerala, K. MURALEEDHARAN,INC,1990
CANNANORE,Kerala, MULLAPPALLY RAMACHANDRAN,INC,1990
CHIRAYINKIL,Kerala, THALEKUNNIL BASHEER,INC,1990
ERNAKULAM,Kerala, K. V. THOMAS,INC,1990
IDUKKI,Kerala, PALAI K. M. MATHEW,INC,1990
KOTTAYAM,Kerala, RAMESH CHENNITHALA,INC,1990
MANJERI,Kerala, EBRAHIM SULAIMAN SAIT,MUL,1990
MAVELIKARA,Kerala, P. J. KURIEN,INC,1990
MUKUNDAPURAM,Kerala, SAVITHRI LAKSHMANAN,INC,1990
MUVATTUPUZHA,Kerala, P. C. THOMAS,KCM,1990
OTTAPALAM (SC),Kerala, K. R. NARAYANAN,INC,1990
PALGHAT,Kerala, A. VIJAYARAGHAVAN,CPM,1990
PONNANI,Kerala, G. M. BANAT WALIA,MUL,1990
QUILON,Kerala, S. KRISHNAKUMAR,INC,1990
TRICHUR,Kerala, P. A. ANTONY,INC,1990
KASARAGOD ,Kerala,M. RAMMANA RAI ,CPM,1990
TRIVANDRUM ,Kerala,A. CHARLES ,INC,1990
BALAGHAT,Madhya Pradesh, KANKAR MUNJARE,IND,1990
BASTAR (ST),Madhya Pradesh, MANKURAM SODI,INC,1990
BETUL,Madhya Pradesh, ARIF BEG,BJP,1990
BHIND,Madhya Pradesh, NARSINGH RAO DIXIT,BJP,1990
BHOPAL,Madhya Pradesh, SUSHIL CHANDRA VERMA,BJP,1990
BILASPUR (SC),Madhya Pradesh, RESHAM LAL JANGADE,BJP,1990
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC,1990
DAMOH,Madhya Pradesh, LOKENDRA SNGH,BJP,1990
DHAR (ST),Madhya Pradesh, SURAJ BHANU SHIV BHANU SOLANKI,INC,1990
DURG,Madhya Pradesh, PURUSHOTTAM KAUSHIK,JD,1990
GUNA,Madhya Pradesh, VIJAYA RAJE SCINDIA,BJP,1990
GWALIOR,Madhya Pradesh, MADHAVA RAO SCINDIYA JEEWAJI RAO,INC,1990
HOSHANGABAD,Madhya Pradesh, SARTAJ SINGH,BJP,1990
INDORE,Madhya Pradesh, SUMITRA MAHAJAN,BJP,1990
JABALPUR,Madhya Pradesh, BABURAO PRANJPE,BJP,1990
JANJGIR,Madhya Pradesh, DALIP SINGH JUDEO,BJP,1990
JHABUA (ST),Madhya Pradesh, DILEEPSINGH BHURIA,INC,1990
KANKER (ST),Madhya Pradesh, ARVIND NETAM,INC,1990
KHAJURAHO,Madhya Pradesh, UMABHARTI,BJP,1990
KHANDWA,Madhya Pradesh, AMRITLAL (MANNIBHAI),BJP,1990
KHARGONE,Madhya Pradesh, RAMESHWAR PATHIDAR,BJP,1990
MAHASAMUND,Madhya Pradesh, VIDYACHARAN SHUKLA,JD,1990
MANDLA (ST),Madhya Pradesh, MOHAN LAL,INC,1990
RAIGARH (ST),Madhya Pradesh, NAND KUMAR SAI,BJP,1990
RAIPUR,Madhya Pradesh, RAMESH BAIS,BJP,1990
RAJGARH,Madhya Pradesh, PYARELA KHANDELWAR,BJP,1990
RAJNANDGAON,Madhya Pradesh, DHARAM PAL GUPTA,BJP,1990
REWA,Madhya Pradesh, YAMUNA PRASAD SHASTRI,JD,1990
SAGAR (SC),Madhya Pradesh, SHANKAR LAL,BJP,1990
SARANGARH (SC),Madhya Pradesh, PARASRAM BHARDWAJ,INC,1990
SATNA,Madhya Pradesh, SIKHENDRA SINGH,BJP,1990
SEONI,Madhya Pradesh, PRAHLAD SINGH,BJP,1990
SHAHDOL (ST),Madhya Pradesh, DANPAT SINGH PARASTE,JD,1990
SHAJAPUR (SC),Madhya Pradesh, PHOOL CHAND VERMA,BJP,1990
SIDHI (ST),Madhya Pradesh, JAGANNATH SINGH,BJP,1990
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN JATIYA,BJP,1990
VIDISHA,Madhya Pradesh, RAGHAV JI,BJP,1990
MORENA (SC) ,Madhya Pradesh,CHHAVIRAM ,BJP,1990
SURGUJA (ST) ,Madhya Pradesh,LARANGSAI ,BJP,1990
MANDSAUR ,Madhya Pradesh,LAXMINARAYAN PANDEY ,BJP,1990
AHMEDNAGAR,Maharashtra, GADAKH .Y.K.,INC,1990
AKOLA,Maharashtra, PHUNDKAR PANDURANG PUNDLIK,BJP,1990
AMRAVATI,Maharashtra, SUDAM DESHMUKH,CPI,1990
BARAMATI,Maharashtra, PATIL SHANKARRAO BAJIRAO,INC,1990
BEED,Maharashtra, DHAKNO BABANRAO DADABA,JD,1990
BHANDARA,Maharashtra, KHUSHAL PARASRAM SOPCHE,BJP,1990
BOMBAY SOUTH,Maharashtra, DEORA MURLI,INC,1990
BULDHANA (SC),Maharashtra, KALE SUKHDEO NANDAJI,BJP,1990
CHANDRAPUR,Maharashtra, POTDUKHE SHANTARAM RAJESHWAR,INC,1990
CHIMUR,Maharashtra, SHIWNKAR MANOHARRAO SUKAJI,BJP,1990
DAHANU (ST),Maharashtra, DAMODAR BARAKU SHINGADA,INC,1990
DHULE,Maharashtra, (ST) BHOY RESHMA MOTIRAM,INC,1990
ERANDOL,Maharashtra, PATIL UTTAMRAO LAXMANRAO,BJP,1990
HINGOLI,Maharashtra, UTTAM RATHOD,INC,1990
ICHALKARANJI,Maharashtra, MANE BALASAHEB ALAIS RAJARAM SHANKARRAO,INC,1990
JALGAON,Maharashtra, MAHAJAN YADAV SHIVRAM,INC,1990
JALNA,Maharashtra, PUNDLIK HARI DANWE,BJP,1990
KARAD,Maharashtra, CHAVAN PREMALABAI DAJISAHEB,INC,1990
KHED,Maharashtra, BANKHELE KISANRAO BABURAO,JD,1990
KOLABA,Maharashtra, ANTULAY A. R.,INC,1990
KOPARGAON,Maharashtra, VIKHE E.V.,INC,1990
LATUR,Maharashtra, PATIL SHIVRAJ VISHWANATH,INC,1990
MALEGAON (ST),Maharashtra, MAHALE HARIBHAU,JD,1990
NAGPUR,Maharashtra, PURHIT BANWARILAL BHAGWANDAS,INC,1990
NANDED,Maharashtra, KABDE VENKATESH RUKHMAJI,JD,1990
NASHIK,Maharashtra, AHER DAULA SONUJI,BJP,1990
OSMANABAD (SC),Maharashtra, KAMBLE ARVIND TULSHIRAM,INC,1990
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC,1990
PARBHANI,Maharashtra, DESHMUKH ASHOK ANANDRAO,IND,1990
PUNE,Maharashtra, GADGIL VITTHALARO NARHAR,INC,1990
RAMTEK,Maharashtra, P.V. NARSIMHARAO,INC,1990
RATNAGIRI,Maharashtra, NIKAM GOVIND SAWAJI,INC,1990
SANGLI,Maharashtra, PATIL PRAKASHBAPU VASANTRAO,INC,1990
SATARA,Maharashtra, BHOSALE PRATAPRAO BABURAO,INC,1990
