Constituency,State,MP,Party,Year,,,,,,,,,,,
KATIHAR  ,Bihar,MD. YUNUS SALIM,JD,1991,,,,,,,,,,,
KHAGARIA,Bihar, RAM SHARAN YADAV,JD,1991,,,,,,,,,,,
KHUNTI (ST),Bihar, KARIA MUNDA,BJP,1991,,,,,,,,,,,
KISHANGANJ,Bihar, SYED SHAHABUDDIN,JD,1991,,,,,,,,,,,
KODARMA,Bihar, MUMTAZ ANSARI,JD,1991,,,,,,,,,,,
LOHARDAGA (ST),Bihar, LALIT ORAON,BJP,1991,,,,,,,,,,,
MADHEPURA,Bihar, SHARAD YADAV,JD,1991,,,,,,,,,,,
MADHUBANI,Bihar, BHOGENDRA JHA,CPI,1991,,,,,,,,,,,
MAHARAJGANJ,Bihar, GIRIJA DEVI (W),JD,1991,,,,,,,,,,,
MONGHYR,Bihar, BRAHMANAND MANDAL,CPI,1991,,,,,,,,,,,
MOTIHARI,Bihar, KAMLA MISHRA MADHUKAR,CPI,1991,,,,,,,,,,,
MUZAFFARPUR,Bihar, GEORGE FERNANDESE,JD,1991,,,,,,,,,,,
NALANDA,Bihar, VIJOY KUMAR YADAV,CPI,1991,,,,,,,,,,,
NAWADA (SC),Bihar, PREM CHAND RAM,CPM,1991,,,,,,,,,,,
PALAMAU (SC) ,Bihar,RAM DEO RAM,BJP,1991,,,,,,,,,,,
PATNA,Bihar,RAM KRIPAL YADAV,JD,1991,,,,,,,,,,,
PURNEA,Bihar,RAJESH RANJAN (PAPPU YADAV),JD,1991,,,,,,,,,,,
RAJMAHAL (ST),Bihar, SIMON MARANDI,JMM,1991,,,,,,,,,,,
RANCHI,Bihar, RAM TAHAL CHOUDHARY,BJP,1991,,,,,,,,,,,
ROSERA (SC),Bihar, RAM VILAS PASWAN,JD,1991,,,,,,,,,,,
SAHARSA,Bihar, SURYA NARAIN YADAV,JD,1991,,,,,,,,,,,
SAMASTIPUR,Bihar, MANJAY LAL,JD,1991,,,,,,,,,,,
SASARAM (SC),Bihar, CHHEDI PASWAN,JD,1991,,,,,,,,,,,
SHEOHAR,Bihar, HARI KISHORE SINGH,JD,1991,,,,,,,,,,,
SINGHBHUM (ST),Bihar, KRISHNA MARANDI,JMM,1991,,,,,,,,,,,
SITAMARHI,Bihar, NAWAL KISHORE RAY,JD,1991,,,,,,,,,,,
SIWAN,Bihar, BRISHIN PATEL,JD,1991,,,,,,,,,,,
VAISHALI,Bihar, SHEO SHARAN SINGH,JD,1991,,,,,,,,,,,
CHANDNI CHOWK,Delhi, TARA CHAND KHANDELWAL,BJP,1991,,,,,,,,,,,
DELHI SADAR,Delhi, JAGDISH TYTLER,INC,1991,,,,,,,,,,,
EAST DELHI,Delhi, B.L. SHARMA 'PREM',BJP,1991,,,,,,,,,,,
KAROL BAGH (SC) ,Delhi,KALKA DASS ,BJP ,1991,,,,,,,,,,,
NEW DELHI ,Delhi,LAL KRISHAN ADVANI ,BJP,1991,,,,,,,,,,,
OUTER DELHI,Delhi, SAJJAN KUMAR,INC,1991,,,,,,,,,,,
SOUTH DELHI,Delhi, MADAN LAL KHURANA,BJP,1991,,,,,,,,,,,
AHMEDABAD,Gujarat, HARIN PATHAK,BJP,1991,,,,,,,,,,,
AMRELI,Gujarat, DILIPBHAI SANGHANI,BJP,1991,,,,,,,,,,,
ANAND,Gujarat, CHAVDA ISHVARBHAI KHODABHAI,INC,1991,,,,,,,,,,,
BANASKANTHA,Gujarat, CHAVDA HARISINHJI PATAPSINHJI,BJP,1991,,,,,,,,,,,
BARODA,Gujarat, DIPIKA CHIKHLIYA (W),BJP,1991,,,,,,,,,,,
BHAVNAGAR,Gujarat, MAHAVIRSINH HARISINHJI GOHIL,BJP,1991,,,,,,,,,,,
BROACH,Gujarat, CHANDUBHAI DESHMUKH,BJP,1991,,,,,,,,,,,
BULSAR (ST) ,Gujarat,UTTAMBHAI HARJIBHAI PATEL,INC,1991,,,,,,,,,,,
CHHOTA UDAIPUR (ST) ,Gujarat,NARANBHAI JAMLABHAI RATHAVA ,JD(G),1991,,,,,,,,,,,
DHANDHUKA (SC),Gujarat, RATILAL VERMA,BJP,1991,,,,,,,,,,,
DOHAD (ST),Gujarat, DAMOR SOMJIBHAI PUNJABHAI,INC,1991,,,,,,,,,,,
GANDHINAGAR,Gujarat, LAL KRISHNA ADVANI,BJP,1991,,,,,,,,,,,
GODHRA,Gujarat, VEGHELA SHANKERJI LAXMANJI,BJP,1991,,,,,,,,,,,
JAMNAGAR,Gujarat, KORDIYA CHANDRESH KUMAR VALJIBHAI,BJP,1991,,,,,,,,,,,
JUNAGADH,Gujarat, CHIKHALIYA BHAVENABEN DEVRAJBHAI (W),BJP,1991,,,,,,,,,,,
KAIRA,Gujarat, K.D. JESWANI,BJP,1991,,,,,,,,,,,
KAPADVANJ,Gujarat, GABHAJI MANGAJI THAKOR,BJP,1991,,,,,,,,,,,
KUTCH ,Gujarat,PATEL HARILAL NANJI ,INC,1991,,,,,,,,,,,
MANDVI (ST),Gujarat, GAMIT CHHITUBHAI DEVJIBHAI,INC,1991,,,,,,,,,,,
MEHSANA ,Gujarat,A.K. PATEL ,BJP,1991,,,,,,,,,,,
PATAN (SC),Gujarat, MAHESH KANODIYA,BJP,1991,,,,,,,,,,,
PORBANDAR,Gujarat, PATEL HIRALAL MADHAVJIBHAI,BJP,1991,,,,,,,,,,,
RAJKOT,Gujarat, SHIVLALBHAI VERARIA,BJP,1991,,,,,,,,,,,
SABARKANTHA,Gujarat, ARVIND TRIVEDI (LANKESH),BJP,1991,,,,,,,,,,,
SURAT,Gujarat, KASHIRAM RANA,BJP,1991,,,,,,,,,,,
SURENDRANAGAR,Gujarat, KOLIPATEL SOMABHAI GADABHAI,BJP,1991,,,,,,,,,,,
AMBALA (SC) ,Haryana,RAM PRAKASH ,INC,1991,,,,,,,,,,,
BHIWANI,Haryana, JANGBIR SINGH,HVP,1991,,,,,,,,,,,
FARIDABAD,Haryana, AVTAR SINGH BHADANA,INC,1991,,,,,,,,,,,
HISSAR,Haryana, NARAIN SINGH,INC,1991,,,,,,,,,,,
KARNAL,Haryana, CHIRANJI LAL SHARMA,INC,1991,,,,,,,,,,,
KURUKSHETRA,Haryana, TARA SINGH,INC,1991,,,,,,,,,,,
MAHENDRAGARH,Haryana, RAM SINGH,INC,1991,,,,,,,,,,,
ROHTAK,Haryana, BHUPENDER SINGH,INC,1991,,,,,,,,,,,
SIRSA (SC) ,Haryana,SHAILJA (W) ,INC,1991,,,,,,,,,,,
SONEPAT,Haryana, DHARAMPAL SINGH,INC,1991,,,,,,,,,,,
HAMIRPUR ,Himachal Pradesh,PREM KUMAR DHUMAL ,BJP,1991,,,,,,,,,,,
KANGRA,Himachal Pradesh, D.D. KHANORIA,BJP,1991,,,,,,,,,,,
MANDI,Himachal Pradesh, SUKH RAM,INC,1991,,,,,,,,,,,
SIMLA (SC) ,Himachal Pradesh,KRISHAN DUTT SULTANPURI ,INC,1991,,,,,,,,,,,
BAGALKOT,Karnataka, SIDDAPPA BHIMAPPA NYAMAGOUDAR,INC,1991,,,,,,,,,,,
BANGALORE NORTH ,Karnataka,C.K. JAFFER SHARIEF ,INC,1991,,,,,,,,,,,
BANGALORE SOUTH,Karnataka, K. VENKATGIRI GOWDA,BJP,1991,,,,,,,,,,,
BELGAUM,Karnataka, SIDNAL SHANMUKHAPPA BASAPPA,INC,1991,,,,,,,,,,,
BELLARY,Karnataka, BASAVARAJESHWARI (W),INC,1991,,,,,,,,,,,
BIDAR (SC) ,Karnataka,RAMCHANDRA VEERAPPA ,BJP,1991,,,,,,,,,,,
BIJAPUR ,Karnataka,GUDADINNI BASAGONDAPPA KADAPPA,INC,1991,,,,,,,,,,,
CHAMARAJANAGAR (SC) ,Karnataka,V. SREENIVASA PRASAD ,INC,1991,,,,,,,,,,,
CHIKBALLAPUR,Karnataka, V. KRISHNA RAO,INC,1991,,,,,,,,,,,
CHIKKODI (SC),Karnataka, B. SHANKARANAND,INC,1991,,,,,,,,,,,
CHIKMAGALUR,Karnataka, D.K. THARADEVI (W),INC,1991,,,,,,,,,,,
CHITRADURGA,Karnataka, C.P. MUDALAGIRIYAPPA,INC,1991,,,,,,,,,,,
DAVANGERE,Karnataka, CHANNAIAH ODEYAR,INC,1991,,,,,,,,,,,
DHARWAD NORTH,Karnataka, D.K. NAIKAR,INC,1991,,,,,,,,,,,
DHARWAD SOUTH,Karnataka, B.M. MUJAHID,INC,1991,,,,,,,,,,,
GULBARGA,Karnataka, B.G. JAWALI,INC,1991,,,,,,,,,,,
HASSAN,Karnataka, H.D. DEVEGOWDA,JP,1991,,,,,,,,,,,
KANAKAPURA,Karnataka, M.V. CHANDRASHEKARA MURTHY,INC,1991,,,,,,,,,,,
KANARA,Karnataka, NAIK G. DEVARAYA,INC,1991,,,,,,,,,,,
KOLAR (SC),Karnataka, K.H. MUNIYAPPA,INC,1991,,,,,,,,,,,
KOPPAL,Karnataka, ANWARI BASAVARAJ PATIL,INC,1991,,,,,,,,,,,
MANDYA,Karnataka, G. MADEGOWDA,INC,1991,,,,,,,,,,,
MANGALORE,Karnataka, V. DHANANJAYA KUMAR,BJP,1991,,,,,,,,,,,
MYSORE,Karnataka, CHANDRAPRABHA URS (W),INC,1991,,,,,,,,,,,
RAICHUR,Karnataka, VENKATESH NAIK,INC,1991,,,,,,,,,,,
SHIMOGA,Karnataka, K.G. SHIVAPPA,INC,1991,,,,,,,,,,,
TUMKUR,Karnataka, S. MALLIKARJUNAIAH,BJP,1991,,,,,,,,,,,
UDUPI,Karnataka, OSCAR FERNANDES,INC,1991,,,,,,,,,,,
ADOOR (SC),Kerala, KODIKUNNIL SURESH,INC,1991,,,,,,,,,,,
ALLEPPEY,Kerala, T.J. ANJALOSE,CPM,1991,,,,,,,,,,,
BADAGARA,Kerala, UNNIKRISHNAN K.P. (SCS),ICS(SCS),1991,,,,,,,,,,,
CALICUT,Kerala, K. MURALEEDHARAN,INC,1991,,,,,,,,,,,
CANNANORE,Kerala, MULLAPPALLY RAMACHANDRAN,INC,1991,,,,,,,,,,,
CHIRAYINKIL,Kerala, SUSEELA GOPALAN (W),CPM,1991,,,,,,,,,,,
ERNAKULAM,Kerala, K.V. THOMAS,INC,1991,,,,,,,,,,,
IDUKKI,Kerala, PALAI K.M. MATHEW,INC,1991,,,,,,,,,,,
KASARAGOD ,Kerala,M. RAMANNA RAI M,CP,1991,,,,,,,,,,,
KOTTAYAM,Kerala, RAMESH CHENNITHALA,INC,1991,,,,,,,,,,,
MANJERI,Kerala, E. AHAMED,MUL,1991,,,,,,,,,,,
MAVELIKARA,Kerala, P.J. KURIAN,INC,1991,,,,,,,,,,,
MUKUNDAPURAM,Kerala, SAVITHRI LAKSHMANAN (W),INC,1991,,,,,,,,,,,
MUVATTUPUZHA,Kerala, P.C. THOMAS,KCM,1991,,,,,,,,,,,
OTTAPALAM (SC),Kerala, K.R. NARAYANAN,INC,1991,,,,,,,,,,,
PALGHAT,Kerala, V.S. VIJAYARAGHAVAN,INC,1991,,,,,,,,,,,
PONNANI,Kerala, EBRAHIM SULAIMAN SAIT,MUL,1991,,,,,,,,,,,
QUILON,Kerala, S. KRISHNA KUMAR,INC,1991,,,,,,,,,,,
TRICHUR,Kerala, P.C. CHACKO,INC,1991,,,,,,,,,,,
TRIVANDRUM ,Kerala,A. CHARLES,INC,1991,,,,,,,,,,,
BALAGHAT,Madhya Pradesh, VISHVESHWAR BHAGAT,INC,1991,,,,,,,,,,,
BASTAR (ST),Madhya Pradesh, MANKURAM SODHI,INC,1991,,,,,,,,,,,
BETUL,Madhya Pradesh, ASLAM-SHER-KHAN,INC,1991,,,,,,,,,,,
BHIND,Madhya Pradesh, YOGANAND SARASWATI,BJP,1991,,,,,,,,,,,
BHOPAL,Madhya Pradesh, SUSHIL CHANDRA VERMA,BJP,1991,,,,,,,,,,,
BILASPUR (SC),Madhya Pradesh, KHELAN RAM JANGDE,INC,1991,,,,,,,,,,,
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC,1991,,,,,,,,,,,
DAMOH,Madhya Pradesh, RAMKRISHNA KUSMARIA,BJP,1991,,,,,,,,,,,
DHAR (ST),Madhya Pradesh, SURAJBHANU SOLANKI,INC,1991,,,,,,,,,,,
DURG,Madhya Pradesh, CHANDULAL CHANDRAKAR,INC,1991,,,,,,,,,,,
GUNA,Madhya Pradesh, VIJAYA RAJE SCINDIA (W),BJP,1991,,,,,,,,,,,
GWALIOR,Madhya Pradesh, MADHAV RAO SCINDIA,INC,1991,,,,,,,,,,,
HOSHANGABAD,Madhya Pradesh, SARTAJ SINGH,BJP,1991,,,,,,,,,,,
INDORE,Madhya Pradesh, SUMITRA MAHAJAN (W),BJP,1991,,,,,,,,,,,
JABALPUR,Madhya Pradesh, SHRAWAN KUMAR PATEL,INC,1991,,,,,,,,,,,
JANJGIR,Madhya Pradesh, BHAWANI LAL VERMA,INC,1991,,,,,,,,,,,
JHABUA (ST),Madhya Pradesh, DILEEPSINGH BHURIA,INC,1991,,,,,,,,,,,
KANKER (ST),Madhya Pradesh, ARWIND NETAM,INC,1991,,,,,,,,,,,
KHAJURAHO ,Madhya Pradesh,UMA BHARTI (W) ,BJP,1991,,,,,,,,,,,
KHANDWA,Madhya Pradesh, MAHENDER KUMAR SINGH,INC,1991,,,,,,,,,,,
KHARGONE,Madhya Pradesh, RAMESHWAR PATIDAR,BJP,1991,,,,,,,,,,,
MAHASAMUND,Madhya Pradesh, PAWAN DIWAN,INC,1991,,,,,,,,,,,
MANDLA (ST),Madhya Pradesh, MOHAN LAL,INC,1991,,,,,,,,,,,
MANDSAUR ,Madhya Pradesh,LAXMINARAIN PANDEY ,BJP,1991,,,,,,,,,,,
MORENA (SC) ,Madhya Pradesh,BARELAL JATAV ,INC,1991,,,,,,,,,,,
RAIGARH (ST),Madhya Pradesh, PUSHPADEVI SINGH (W),INC,1991,,,,,,,,,,,
RAIPUR,Madhya Pradesh, VIDYACHARAN SHUKLA,INC,1991,,,,,,,,,,,
RAJGARH,Madhya Pradesh, DIGVIJAY SINGH,INC,1991,,,,,,,,,,,
RAJNANDGAON,Madhya Pradesh, SHIVENDRA BAHADUR SINGH,INC,1991,,,,,,,,,,,
REWA,Madhya Pradesh, BHEEM SINGH PATEL,BSP,1991,,,,,,,,,,,
SAGAR (SC),Madhya Pradesh, ANAND AHIRWAR,INC,1991,,,,,,,,,,,
SARANGARH (SC),Madhya Pradesh, PARAS RAM BHARADWAJ,INC,1991,,,,,,,,,,,
SATNA,Madhya Pradesh, ARJUN SINGH,INC,1991,,,,,,,,,,,
SEONI,Madhya Pradesh, VIMLA VERMA (W),INC,1991,,,,,,,,,,,
SHAHDOL (ST),Madhya Pradesh, DALBIR SINGH,INC,1991,,,,,,,,,,,
SHAJAPUR (SC),Madhya Pradesh, PHOOLCHAND VERMA,BJP,1991,,,,,,,,,,,
SIDHI (ST),Madhya Pradesh, MOTILAL SINGH,INC,1991,,,,,,,,,,,
SURGUJA (ST),Madhya Pradesh, KHELSAI SINGH,INC,1991,,,,,,,,,,,
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN JATIYA,BJP,1991,,,,,,,,,,,
VIDISHA,Madhya Pradesh,S.SINGH,BJP,1991,,,,,,,,,,,
AHMEDNAGAR,Maharashtra, GADAKH YESHAWANTRAO,INC,1991,,,,,,,,,,,
AKOLA,Maharashtra, FUNDKAR PANDURANG PUNDLIK,BJP,1991,,,,,,,,,,,
AMRAVATI,Maharashtra, PRATIBHA DEVISINHA PATIL (W),INC,1991,,,,,,,,,,,
AURANGABAD,Maharashtra, MORESHWAR SAVE,SHS,1991,,,,,,,,,,,
BARAMATI,Maharashtra,P. S. C. GOVINDRAO,INC,1991,,,,,,,,,,,
BEED,Maharashtra,KSHIRSAGAR KESHARBAI SONAJIRAO ALIAS KAKU (W),INC,1991,,,,,,,,,,,
BHANDARA,Maharashtra, PRAFUL MANOHAR BHAI PATEL,INC,1991,,,,,,,,,,,
BOMBAY NORTH ,Maharashtra,RAM NAIK ,BJP,1991,,,,,,,,,,,
BOMBAY NORTH CENTRAL ,Maharashtra,DIGHE SHARAD SHANKAR ,INC,1991,,,,,,,,,,,
BOMBAY NORTH EAST ,Maharashtra,GURADAS KAMAT ,INC,1991,,,,,,,,,,,
BOMBAY NORTH WEST ,Maharashtra,SUNIL DUTT, INC,1991,,,,,,,,,,,
BOMBAY SOUTH,Maharashtra, DEORA MURLI,INC,1991,,,,,,,,,,,
BOMBAY SOUTH CENTRAL ,Maharashtra,MOHAN RAWALE ,SHS,1991,,,,,,,,,,,
BULDHANA (SC),Maharashtra, WASNIK MUKUL BALKRISHNA,INC,1991,,,,,,,,,,,
CHANDRAPUR,Maharashtra, POTDUKHE SHANTARAM,INC,1991,,,,,,,,,,,
CHIMUR,Maharashtra, MUTTEMWAR VILAS BABURAO,INC,1991,,,,,,,,,,,
DAHANU (ST),Maharashtra, DAMU BARKU SHINGDA,INC,1991,,,,,,,,,,,
DHULE,Maharashtra, (ST) CHAURE BAPU HARI,INC,1991,,,,,,,,,,,
