ST_CODE,ST_NAME,PC_NO,PC_NAME,PC_TYPE,MONTH,YEAR,CAND_NAME,CAND_SEX,PARTYABBRE,TOTVOTPOLL
S01,ANDHRA PRADESH,1,Srikakulam,GEN,3,2004,YERRANNAIDU KINJARAPU,M,TDP,361906
S01,ANDHRA PRADESH,2,Parvathipuram,ST,3,2004,KISHORE CHANDRA SURYANARAYANA DEO VYRICHERLA,M,INC,321788
S01,ANDHRA PRADESH,3,Bobbili,GEN,3,2004,KONDAPALLI PYDITHALLI NAIDU,M,TDP,373922
S01,ANDHRA PRADESH,4,Visakhapatnam,GEN,3,2004,JANARDHANA REDDY NEDURUMALLI,M,INC,524122
S01,ANDHRA PRADESH,5,Bhadrachalam,ST,3,2004,MIDIYAM BABU RAO,M,CPM,373148
S01,ANDHRA PRADESH,6,Anakapalli,GEN,3,2004,CHALAPATHIRAO PAPPALA,M,TDP,385406
S01,ANDHRA PRADESH,7,Kakinada,GEN,3,2004,MALLIPUDI MANGAPATI PALLAM RAJU,M,INC,410982
S01,ANDHRA PRADESH,8,Rajahmundry,GEN,3,2004,ARUNA KUMAR VUNDAVALLI,M,INC,413927
S01,ANDHRA PRADESH,9,Amalapuram,SC,3,2004,G.V. HARSHA KUMAR,M,INC,350346
S01,ANDHRA PRADESH,10,Narasapur,GEN,3,2004,CHEGONDI VENKATA HARIRAMA JOGAIAH,M,INC,402761
S01,ANDHRA PRADESH,11,Eluru,GEN,3,2004,KAVURU  SAMBA SIVA RAO,M,INC,499191
S01,ANDHRA PRADESH,12,Machilipatnam,GEN,3,2004,BADIGA RAMAKRISHNA,M,INC,387127
S01,ANDHRA PRADESH,13,Vijayawada,GEN,3,2004,RAJAGOPAL LAGADAPATI,M,INC,519624
S01,ANDHRA PRADESH,14,Tenali,GEN,3,2004,BALASHOWRY VALLABHANENI,M,INC,366843
S01,ANDHRA PRADESH,15,Guntur,GEN,3,2004,RAYAPATI  SAMBASIVA RAO,M,INC,466221
S01,ANDHRA PRADESH,16,Bapatla,GEN,3,2004,DAGGUBATI PURANDARESWARI,F,INC,411099
S01,ANDHRA PRADESH,17,Narasaraopet,GEN,3,2004,MEKAPATI RAJAMOHAN REDDY,M,INC,481310
