PC Name,State ,Winner,Party,Year,PC NO
 Sasaram  , Bihar  , Meira Kumar  ,INC  ,2009,34
 Karakat  , Bihar  , Mahabali Singh  ,JD(U),2009,35
 Jahanabad  , Bihar  , Jagdish Sharma  ,JD(U),2009,36
 Aurangabad  , Bihar  , Sushil Kumar Singh  ,JD(U),2009,37
 Gaya  , Bihar  , Hari Manjhi  ,BJP,2009,38
 Nawada  , Bihar  , Bhola Singh  ,BJP,2009,39
 Jamui  , Bihar  , Bhudeo Choudhary  ,JD(U),2009,40
 Sarguja  , Chattisgarh  , Murarilal Singh  ,BJP,2009,1
 Raigarh  , Chattisgarh  , Vishnu Deo Sai  ,BJP,2009,2
 Janjgir-Champa  , Chattisgarh  , Shrimati Kamla Devi Patle  ,BJP,2009,3
 Korba  , Chattisgarh  , Charan Das Mahant  ,INC  ,2009,4
 Bilaspur  , Chattisgarh  , Dilip Singh Judev  ,BJP,2009,5
 Rajnandgaon  , Chattisgarh  , Madhusudan Yadav  ,BJP,2009,6
 Durg  , Chattisgarh  , Saroj Pandey  ,BJP,2009,7
 Raipur  , Chattisgarh  , Ramesh Bais  ,BJP,2009,8
 Mahasamund  , Chattisgarh  , Chandulal Sahu (Chandu Bhaiya)  ,BJP,2009,9
 Bastar  , Chattisgarh  , Baliram Kashyap  ,BJP,2009,10
 Kanker  , Chattisgarh  , Sohan Potai  ,BJP,2009,11
 Kachchh  , Gujarat  , Jat Poonamben Veljibhai  ,BJP,2009,1
 Banaskantha  , Gujarat  ,Gadhvi Mukeshkumar Bheiravdanji  ,INC  ,2009,2
 Patan  , Gujarat  , Jagdish Thakor  ,INC  ,2009,3
 Mahesana  , Gujarat  , Patel Jayshreeben Kanubhai  ,BJP,2009,4
 Sabarkantha  , Gujarat  , Chauhan Mahendrasinh  ,BJP,2009,5
 Gandhinagar  , Gujarat  , L.K.Advani  ,BJP,2009,6
 Ahmedabad East  , Gujarat  , Harin Pathak  ,BJP,2009,7
 Ahmedabad West  , Gujarat  , Dr. Solanki Kiritbhai Premajibhai  ,BJP,2009,8
 Surendranagar  , Gujarat  , Koli Patel Somabhai Gandalal  ,INC  ,2009,9
 Rajkot  , Gujarat  , Kuvarjibhai Mohanbhai Bavalia  ,INC  ,2009,10
 Porbandar  , Gujarat  , Radadiya Vitthalbhai Hansrajbhai  ,INC  ,2009,11
 Jamnagar  , Gujarat  , Ahir Vikrambhai Arjanbhai Madam  ,INC  ,2009,12
 Junagadh  , Gujarat  , Solanki Dinubhai Boghabhai  ,BJP,2009,13
 Amreli  , Gujarat  , Kachhadia Naranbhai  ,BJP,2009,14
 Bhavnagar  , Gujarat  , Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana)  ,BJP,2009,15
 Anand  , Gujarat  , Solanki Bharatbhai Madhavsinh  ,INC  ,2009,16
 Kheda  , Gujarat  , Dinsha Patel  ,INC  ,2009,17
 Panchmahal  , Gujarat  , Chauhan Prabhatsinh Pratapsinh  ,BJP,2009,18
 Dahod  , Gujarat  , Dr. Prabha Kishor Taviad  ,INC  ,2009,19
 Vadodara  , Gujarat  , Balkrishna Khanderao Shukla (Balu Shukla)  ,BJP,2009,20
 Chhota Udaipur  , Gujarat  , Rathwa Ramsingbhai Patalbhai  ,BJP,2009,21
 Bharuch  , Gujarat  , Mansukhbhai Dhanjibhai Vasava  ,BJP,2009,22
 Bardoli  , Gujarat  , Chaudhari Tusharbhai Amrasinhbhai  ,INC  ,2009,23
 Surat  , Gujarat  , Shrimati Darshana Vikram Jardosh  ,BJP,2009,24
 Navsari  , Gujarat  , C. R. Patil  ,BJP,2009,25
 Valsad  , Gujarat  , Kishanbhai Vestabhai Patel  ,INC  ,2009,26
 Ambala  , Haryana  , Selja  ,INC  ,2009,1
 Kurukshetra  , Haryana  , Naveen Jindal  ,INC  ,2009,2
 Sirsa  , Haryana  , Ashok Tanwar  ,INC  ,2009,3
 Hisar  , Haryana  , Bhajan Lal S/O Kheraj  ,HJCBL,2009,4
 Karnal  , Haryana  , Arvind Kumar Sharma  ,INC  ,2009,5
 Sonipat  , Haryana  , Jitender Singh  ,INC  ,2009,6
 Rohtak  , Haryana  , Deepender Singh  ,INC  ,2009,7
 Bhiwani-Mahendragarh  , Haryana  , Shruti Choudhry  ,INC  ,2009,8
 Gurgaon  , Haryana  , Inderjit Singh  ,INC  ,2009,9
 Faridabad  , Haryana  , Avtar Singh Bhadana  ,INC  ,2009,10
 Kangra  , Himachal Pradesh  , Dr. Rajan Sushant  ,BJP,2009,1
 Mandi  , Himachal Pradesh  , Virbhadra Singh  ,INC  ,2009,2
 Hamirpur  , Himachal Pradesh  , Anurag Singh Thakur  ,BJP,2009,3
 Shimla  , Himachal Pradesh  , Virender Kashyap  ,BJP,2009,4
 Rajmahal  , Jharkhand  , Devidhan Besra  ,BJP,2009,1
 Dumka  , Jharkhand  , Shibu Soren  ,JMM,2009,2
 Godda  , Jharkhand  , Nishikant Dubey  ,BJP,2009,3
 Chatra  , Jharkhand  , Inder Singh Namdhari  ,IND,2009,4
 Kodarma  , Jharkhand  , Babulal Marandi  ,JVM,2009,5
 Giridih  , Jharkhand  , Ravindra Kumar Pandey  ,BJP,2009,6
 Dhanbad  , Jharkhand  , Pashupati Nath Singh  ,BJP,2009,7
 Ranchi  , Jharkhand  , Subodh Kant Sahay  ,INC  ,2009,8
 Jamshedpur  , Jharkhand  , Arjun Munda  ,BJP,2009,9
 Singhbhum  , Jharkhand  , Madhu Kora  ,IND,2009,10
 Khunti  , Jharkhand  , Karia Munda  ,BJP,2009,11
 Lohardaga  , Jharkhand  , Sudarshan Bhagat  ,BJP,2009,12
 Palamau  , Jharkhand  , Kameshwar Baitha  ,JMM,2009,13
 Hazaribagh  , Jharkhand  , Yashwant Sinha  ,BJP,2009,14
 Chikkodi  , Karnataka  , Katti Ramesh Vishwanath  ,BJP,2009,1
 Belgaum  , Karnataka  , Angadi Suresh Channabasappa  ,BJP,2009,2
 Bagalkot  , Karnataka  , Gaddigoudar P.C.  ,BJP,2009,3
 Bijapur  , Karnataka  , Ramesh Chandappa Jigajinagi  ,BJP,2009,4
 Gulbarga  , Karnataka  , Mallikarjun Kharge  ,INC  ,2009,5
 Raichur  , Karnataka  , Pakkirappa.S.  ,BJP,2009,6
 Bidar  , Karnataka  , N.Dharam Singh  ,INC  ,2009,7
 Koppal  , Karnataka  , Shivaramagouda Shivanagouda  ,BJP,2009,8
 Bellary  , Karnataka  , J. Shantha  ,BJP,2009,9
 Haveri  , Karnataka  , Udasi Shivkumar Chanabasappa  ,BJP,2009,10
 Dharwad  , Karnataka  , Pralhad Joshi  ,BJP,2009,11
 Uttara Kannada  , Karnataka  , Anantkumar Hegde  ,BJP,2009,12
 Davanagere  , Karnataka  , Siddeswara G.M.  ,BJP,2009,13
 Shimoga  , Karnataka  , B.Y. Raghavendra  ,BJP,2009,14
 Udupi Chikmagalur  , Karnataka  , D.V.Sadananda Gowda  ,BJP,2009,15
 Hassan  , Karnataka  , H. D. Devegowda  ,JD(S),2009,16
 Dakshina Kannada  , Karnataka  , Nalin Kumar Kateel  ,BJP,2009,17
 Chitradurga  , Karnataka  , Janardhana Swamy  ,BJP,2009,18
 Tumkur  , Karnataka  , G.S. Basavaraj  ,BJP,2009,19
 Mandya  , Karnataka  , N Cheluvaraya Swamy @ Swamygowda  ,JD(S),2009,20
 Mysore  , Karnataka  , Adagur H Vishwanath  ,INC  ,2009,21
 Chamarajanagar  , Karnataka  , R.Dhruvanarayana  ,INC  ,2009,22
 Bangalore Rural  , Karnataka  , H.D.Kumaraswamy  ,JD(S),2009,23
 Bangalore North  , Karnataka  , D. B. Chandre Gowda  ,BJP,2009,24
 Bangalore Central  , Karnataka  , P. C. Mohan  ,BJP,2009,25
 Bangalore South  , Karnataka  , Ananth Kumar  ,BJP,2009,26
 Chikkballapur  , Karnataka  , M.Veerappa Moily  ,INC  ,2009,27
 Kolar  , Karnataka  , K.H.Muniyappa  ,INC  ,2009,28
 Kasaragod  , Kerala  , P Karunakaran  ,CPM,2009,1
 Kannur  , Kerala  , K. Sudhakaran  ,INC  ,2009,2
 Vadakara  , Kerala  , Mullappally Ramachandran  ,INC  ,2009,3
 Wayanad  , Kerala  , M.I. Shanavas  ,INC  ,2009,4
 Kozhikode  , Kerala  , M.K. Raghavan  ,INC  ,2009,5
 Malappuram  , Kerala  , E. Ahamed  ,MUL,2009,6
 Ponnani  , Kerala  , E.T. Muhammed Basheer  ,MUL,2009,7
 Palakkad  , Kerala  , M.B. Rajesh  ,CPM,2009,8
 Alathur  , Kerala  , P.K Biju  ,CPM,2009,9
 Thrissur  , Kerala  , P C Chacko  ,INC  ,2009,10
 Chalakudy  , Kerala  , K.P. Dhanapalan  ,INC  ,2009,11
 Ernakulam  , Kerala  , Prof. K V Thomas  ,INC  ,2009,12
 Idukki  , Kerala  , Adv. P.T Thomas  ,INC  ,2009,13
 Kottayam  , Kerala  , Jose K.Mani (Karingozheckal)  ,KEC(M),2009,14
 Alappuzha  , Kerala  , K.C Venugopal  ,INC  ,2009,15
 Mavelikkara  , Kerala  , Kodikkunnil Suresh  ,INC  ,2009,16
 Pathanamthitta  , Kerala  , Anto Antony Punnathaniyil  ,INC  ,2009,17
 Kollam  , Kerala  , N.Peethambarakurup  ,INC  ,2009,18
 Attingal  , Kerala  , Adv. A Sampath  ,CPM,2009,19
 Thiruvananthapuram  , Kerala  , Shashi Tharoor  ,INC  ,2009,20
 Morena  , Madhya Pradesh  , Narendra Singh Tomar  ,BJP,2009,1
 Bhind  , Madhya Pradesh  , Ashok Argal  ,BJP,2009,2
 Gwalior  , Madhya Pradesh  , Yashodhara Raje Scindia  ,BJP,2009,3
 Guna  , Madhya Pradesh  , Jyotiraditya Madhavrao Scindia  ,INC  ,2009,4
 Sagar  , Madhya Pradesh  , Bhupendra Singh  ,BJP,2009,5
 Tikamgarh  , Madhya Pradesh  , Virendra Kumar  ,BJP,2009,6
 Damoh  , Madhya Pradesh  , Shivraj Bhaiya  ,BJP,2009,7
 Khajuraho  , Madhya Pradesh  , Jeetendra Singh Bundela  ,BJP,2009,8
 Satna  , Madhya Pradesh  , Ganesh Singh  ,BJP,2009,9
 Rewa  , Madhya Pradesh  , Deoraj Singh Patel  ,BSP,2009,10
