Constituency,State,MP,Party,Year
AMETHI,Uttar Pradesh, RAJIV GANDHI,INC,1984
SULTANPUR,Uttar Pradesh, RAJ KARAN SINGH,INC,1984
AKBARPUR (SC),Uttar Pradesh, RAM PIYARE SUMAN,INC,1984
FAIZABAD,Uttar Pradesh, NIRMAL KHATRI,INC,1984
KAISERGANJ,Uttar Pradesh, RANA VIR SINGH,INC,1984
BAHRAICH,Uttar Pradesh, ARIF MOHAMMAD KHAN,INC,1984
BALRAMPUR,Uttar Pradesh, DEEP NARAIN VAN MAHANTH,INC,1984
GONDA,Uttar Pradesh, ANAND SINGH ALIAS ANNU BHAIYA,INC,1984
BASTI (SC),Uttar Pradesh, RAM AWADH PRASAD,INC,1984
DOMARIAGANJ,Uttar Pradesh, KAZI JALIL ABBASI,INC,1984
KHALILABAD,Uttar Pradesh, CHANDRA SHEKHAR,INC,1984
BANSGAON (SC),Uttar Pradesh, MAHAVIR PRASAD,INC,1984
GORAKHPUR,Uttar Pradesh, MADAN PANDEY,INC,1984
MAHARAJGANJ,Uttar Pradesh, JITENDRA SINGH,INC,1984
DEORIA,Uttar Pradesh, RAJMANGAL PANDEY,INC,1984
SALEMPUR,Uttar Pradesh, RAM NAGINA MISRA,INC,1984
BALLIA,Uttar Pradesh, JAGANNATH CHOWDHARI,INC,1984
GHOSI,Uttar Pradesh, RAJ KUMAR,INC,1984
AZAMGARH,Uttar Pradesh, SANTOSH KUMAR SINGH,INC,1984
LALGANJ (SC),Uttar Pradesh, RAMDHAN,INC,1984
JAUNPUR,Uttar Pradesh, KAMALA PRASAD SINGH,INC,1984
SAIDPUR (SC),Uttar Pradesh, RAM SMUJHAWAN,INC,1984
GHAZIPUR,Uttar Pradesh, ZAINUL BASHER,INC,1984
CHANDAULI,Uttar Pradesh, CHANDA TRIPATI,INC,1984
VARANASI,Uttar Pradesh, SHYAM LAL YADAVA,INC,1984
ROBERTSGANJ (SC),Uttar Pradesh, RAM PYARE,INC,1984
MIRZAPUR,Uttar Pradesh, UMA KANT MISHRA,INC,1984
PHULPUR,Uttar Pradesh, RAM PUJAN PATEL,INC,1984
ALLAHABAD,Uttar Pradesh, AMITABH BACHCHAN,INC,1984
CHAIL,Uttar Pradesh, (SC) BIHARI LAL SHAILESH,INC,1984
FATEHPUR,Uttar Pradesh, HARI KRISHNA SHASTRI,INC,1984
BANDA,Uttar Pradesh, BHISM DEO DUBEY,INC,1984
HAMIRPUR,Uttar Pradesh, SWAMI PRASAD SINGH,INC,1984
JHANSI,Uttar Pradesh, SUJAN SINGH BUNDELA,INC,1984
JALAUN (SC),Uttar Pradesh, LACHHI RAM,INC,1984
GHATAMPUR (SC),Uttar Pradesh, ASKARAN,INC,1984
BILHAUR,Uttar Pradesh, JAGDISH AWASTHI,INC,1984
KANPUR,Uttar Pradesh, NARESH CHANDRA CHATURVEDI,INC,1984
ETAWAH,Uttar Pradesh, RAGHURAJ SINGH,INC,1984
KANNAUJ,Uttar Pradesh, SHEILA DIXIT,INC,1984
FARRUKHABAD,Uttar Pradesh, KHURSHED ALAM KHAN,INC,1984
MAINPURI,Uttar Pradesh, BALRAM SINGH YADAV,INC,1984
JALESAR,Uttar Pradesh, KAILASH CHANDRA YADAV,INC,1984
AGRA,Uttar Pradesh, NIHAL SINGH,INC,1984
MATHURA,Uttar Pradesh, MANVENDRA SINGH,INC,1984
HATHRAS (SC),Uttar Pradesh, PURAN CHAND,INC,1984
ALIGARH,Uttar Pradesh, USHA RANI,INC,1984
KHURJA (SC),Uttar Pradesh, VEER SEN,INC,1984
BULANDSHAHR,Uttar Pradesh, KR. SURENDRA PAL,INC,1984
HAPUR,Uttar Pradesh, KEDAR NATH,INC,1984
MEERUT,Uttar Pradesh, MOHSINA KIDWAI,INC,1984
BAGHPAT,Uttar Pradesh, CHARAN SINGH,LKD,1984
MUZAFFARNAGAR,Uttar Pradesh, DHARAM VIR SINGH,INC,1984
KAIRANA,Uttar Pradesh, AKHTAR HASAN,INC,1984
TEHRI GARHWAL ,Uttar Pradesh,BRAHMA DUTT ,INC,1984
BUDAUN ,Uttar Pradesh,SALEEM IQBAL SHERWANI ,INC,1984
BARA BANKI (SC) ,Uttar Pradesh,KAMLA PRASAD ,INC,1984
PADRAUNA ,Uttar Pradesh,CHANDRA PRATAP NARAIN SINGH ,INC,1984
MACHHLISHAHR ,Uttar Pradesh,SRIPATI ,INC,1984
ETAH ,Uttar Pradesh,MUHAMMAD MEHFOOJ ALI KHAN ALIAS PYAREY MAIN, LKD,1984
FIROZABAD (SC) ,Uttar Pradesh,GANGA RAM ,INC,1984
SAHARANPUR ,Uttar Pradesh,YASHPAL SINGH ,INC,1984
HARDWAR (SC) ,Uttar Pradesh,SUNDER LAL ,INC,1984
JALPAIGURI,West Bengal, MANIK SANYAL,CPM,1984
DARJEELING,West Bengal, ANANDA PRASAD PATHAK,CPM,1984
RAIGANJ,West Bengal, GOLAM YAZDANI,INC,1984
BALURGHAT (SC),West Bengal, PALAS BARMAN,RSP,1984
MALDA,West Bengal, ABU BARKAT ATAUL GHANI KHAN CHOUDHURY,INC,1984
JANGIPUR,West Bengal, ABEDIN ZAINAL,CPM,1984
MURSHIDABAD,West Bengal, SYED MUSUDAL HOSSAIN,CPM,1984
KRISHNAGAR,West Bengal, RENU PADA DAS,CPM,1984
NABADWIP (SC),West Bengal, BIBHA GHOSH (GOSWAMI),CPM,1984
BARASAT,West Bengal, TARUN KANTI GHOSH,INC,1984
JOYNAGAR (SC),West Bengal, SANT KUMAR MANDAL,RSP,1984
MATHURAPUR (SC),West Bengal, MANORANJAN HALDER,INC,1984
DIAMOND HARBOUR,West Bengal, AMAL DATTA,CPM,1984
JADAVPUR,West Bengal, MAMATA BANERJEE,INC,1984
BARRACKPORE,West Bengal, DEBI GHOSAL,INC,1984
DUM DUM,West Bengal, ASUTOSH LAW,INC,1984
CALCUTTA SOUTH,West Bengal, BHOLA NATH SEN,INC,1984
HOWRAH,West Bengal, PRIYA RANJAN DAS  MUNSHI,INC,1984
ULUBERIA,West Bengal, HANNAN MOLLAH,CPM,1984
SERAMPORE,West Bengal, BIMAL KANTI GHOSH,INC,1984
HOOGHLY,West Bengal, INDUMATI BHATTACHARYYA,INC,1984
PANSKURA,West Bengal, GEETA MUKHERJEE,CPI,1984
TAMLUK,West Bengal, MISHRA SATYAGOPAL,CPM,1984
CONTAI,West Bengal, PHULRENU GUHA,INC,1984
MIDNAPORE,West Bengal, NARAYAN CHOUBEY,CPI,1984
JHARGRAM (ST),West Bengal, MOTILAL HANSDA,CPM,1984
PURULIA,West Bengal, CHITTARANJAN MAHATA,FBL,1984
BANKURA,West Bengal, ACHARIA BASUDEB,CPM,1984
VISHNUPUR (SC),West Bengal, AJIT KUMAR SAHA,CPM,1984
DURGAPUR (SC),West Bengal, PURNA CHANDRA MALIK,CPM,1984
ASANSOL,West Bengal, ANADA GOPAL MUKHERJEE,INC,1984
BURDWAN,West Bengal, SUDHIR RAY,CPM,1984
KATWA,West Bengal, SAIFUDDIN CHOWDHURY,CPM,1984
BOLPUR,West Bengal, SARADISH ROY,CPM,1984
COOCH BEHAR (SC) ,West Bengal,AMAR ROY PRODHAN, FBL,1984
ALIPURDUARS (ST) ,West Bengal,PIJUS TIRKEY ,RSP,1984
BERHAMPORE ,West Bengal,ATISH CHANDRA SINHA ,INC,1984
BASIRHAT ,West Bengal,INDRAJIT GUPTA ,CPI,1984
CALCUTTA NORTH WEST ,West Bengal,ASHOK KUMAR SEN ,INC,1984
CALCUTTA NORTH EAST ,West Bengal,AJIT KUMAR PANJA ,INC,1984
ARAMBAGH ,West Bengal,ANIL BASU ,CPM,1984
BIRBHUM (SC) ,West Bengal,GADAHAR SAHA ,CPM,1984
SOUTH DELHI,Delhi, LALIT MAKEN,INC,1984
OUTER DELHI,Delhi, BHARAT SINGH,INC,1984
EAST DELHI,Delhi, H.K.L.BHAGAT,INC,1984
CHANDNI CHOWK,Delhi, JAI PARKASH AGARWAL,INC,1984
DELHI SADAR,Delhi, JAGDISH TYTLER,INC,1984
NEW DELHI ,Delhi,KRSIHAN CHANDRA PANT ,INC,1984
KAROL BAGH (SC) ,Delhi,SUNDERWATI NAWAL PRABHAKAR ,INC,1984
AMRITSAR,Punjab,NA,NA,1984
BHATINDA (SC),Punjab,NA,NA,1984
FARIDKOT,Punjab,NA,NA,1984
FEROZEPUR,Punjab,NA,NA,1984
GURDASPUR,Punjab,NA,NA,1984
HOSHIARPUR,Punjab,NA,NA,1984
JULLUNDUR,Punjab,NA,NA,1984
LUDHIANA,Punjab,NA,NA,1984
PATIALA,Punjab,NA,NA,1984
PHILLAUR (SC),Punjab,NA,NA,1984
ROPAR,Punjab,NA,NA,1984
SANGRUR,Punjab,NA,NA,1984
TARN TARAN,Punjab,NA,NA,1984
MIRYALGUDA ,Andhra,BHIMREDDY NARSIMHA REDDY ,CPM,1985
NALGONDA ,Andhra,MALLAREDDY RAGUMA REDDY ,TDP,1985
NARASAPUR ,Andhra,VIJAYA KUMAR RAJU BHUPATHIRAJU ,TDP,1985
AMALAPURAM (SC) ,Andhra,AITHABATHUL A JOGESWARA VENKATA BUTHCI MAHESWARA RAO ,TDP,1985
BOBBILI ,Andhra,ANAND GAJAPATHI RAJU POOSAPATI ,TDP,1985
PARVATHIPURAM (ST) ,Andhra,KISHORE CHANDRA SURYAMARAYANA DEO VYRICHERIA ,ICS,1985
SRIKAKULAM ,Andhra,APPAYYADORA HANUMANTU ,TDP,1985
VISAKHAPATNAM,Andhra, BHATTAM SREERAMA MURTHY,TDP,1985
BHADRACHALAM (ST),Andhra, SODE RAMAIAH,CPI,1985
ANAKAPALLI,Andhra, APPALANARASIMHAM P.,TDP,1985
KAKINADA,Andhra, THOTA GOPALA KRISHNA,TDP,1985
RAJAHMUNDRY,Andhra, SRIHARI RAO,TDP,1985
ELURU,Andhra, BOLLA BULLI RAMAIAH,TDP,1985
MACHILIPATNAM,Andhra, SAMBASIVARAO KUVURU,INC,1985
VIJAYAWADA,Andhra, VADDE SOBHANADREESWARA RAO,TDP,1985
TENALI,Andhra, NISSANKARARAO VENKATARATNAM,TDP,1985
GUNTUR,Andhra, N.G.RANGA,INC,1985
BAPATLA,Andhra, CHIMATA SAMBU,TDP,1985
NARASARAOPET,Andhra, KATURI NARAYANASWAMY,TDP,1985
ONGOLE,Andhra, BEZAWADA PAPIREDDY,TDP,1985
NELLORE (SC),Andhra, PENCHALAIAH PUCHALAPALLI,TDP,1985
TIRUPATHI (SC),Andhra, CHINTA MOHAN,TDP,1985
CHITTOOR,Andhra, N.P.JHANSI LAKSHMI,TDP,1985
RAJAMPET,Andhra, PALAKONDRAYUDU SUGAVASI,TDP,1985
CUDDAPAH,Andhra, D.N.REDDY,TDP,1985
HINDUPUR,Andhra, K. RAMACHANDRA REDDY,TDP,1985
ANANTAPUR,Andhra, DEVINENI NARAYANA SWAMY,TDP,1985
KURNOOL,Andhra, ERASU AYYAPU REDDY,TDP,1985
NANDYAL,Andhra, MADDUR SUBBA REDDY,TDP,1985
NAGARKURNOOL (SC),Andhra, V. TULSIRAM,TDP,1985
MAHABUBNAGAR,Andhra, SUDINI JAIPAL REDDY,JNP,1985
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISE,IND,1985
SECUNDERABAD,Andhra, T.ANJAIAH,INC,1985
SIDDIPET (SC),Andhra, G.VIJAYARAMARAO,TDP,1985
MEDAK,Andhra, P.MANIK REDDY,TDP,1985
NIZAMABAD,Andhra, TADUR BALA GOUD,INC,1985
ADILABAD,Andhra, C. MADHAV REDDY,TDP,1985
PEDDAPALLI (SC),Andhra, GOTTE BHOOPATHY,TDP,1985
KARIMNAGAR,Andhra, JUVVADI CHOKKARAO,INC,1985
HANAMKONDA,Andhra, CHANDUPATLA JANGA REDDY,BJP,1985
WARANGAL,Andhra, T. KALPANA DEVI,TDP,1985
KHAMMAM,Andhra, JALAGAM VENGALA RAO,INC,1985
BETTIAH,Bihar, MANOJ KUMAR PANDE,INC,1985
MOTIHARI,Bihar, PRABHAWATI GUPTA,INC,1985
GOPALGANJ,Bihar, KALI PRASAD PANDEY,IND,1985
SIWAN,Bihar, ABDUL GHAFOOR,INC,1985
MAHARAJGANJ,Bihar, KRISHNAPRATAP SINGH,INC,1985
CHAPRA,Bihar, RAM BAHADUR SINGH,JNP,1985
HAJIPUR (SC),Bihar, RAM RATAN RAM,INC,1985
VAISHALI,Bihar, KISHORI SINHA,INC,1985
MUZAFFARPUR,Bihar, LALITESHWAR PRASAD SHAHI,INC,1985
SITAMARHI,Bihar, RANSHRESTH KHIRHAR,INC,1985
SHEOHAR,Bihar, RAM DULARI SINGH,INC,1985
MADHUBANI,Bihar, ABDUL HANNAN AN,INC,1985
JHANJHARPUR,Bihar, GAURI SHANKAR RAJHANS,INC,1985
DARBHANGA,Bihar, VIJAY KUMAR MISHRA,LKD,1985
ROSERA (SC),Bihar, RAM BHAGAT PASWAN,INC,1985
SAMASTIPUR,Bihar, RAMDEO RAI,INC,1985
BARH,Bihar, PRAKASH CHANDRA,INC,1985
BALIA,Bihar, CHANDRA BHANU DEVI,INC,1985
SAHARSA,Bihar, CHANDRA KISHORE PATHAK,INC,1985
MADHEPURA,Bihar, MAHABIR PRASAD YADAV,INC,1985
ARARIA (SC),Bihar, DOOMAR LAL BAITHA,INC,1985
KISHANGANJ,Bihar,S. SHAHABUDDIN,JNP,1985
PURNEA,Bihar, MADHUREE SINGH,INC,1985
KATIHAR,Bihar, TARIQ ANWAR,INC,1985
RAJMAHAL (ST),Bihar, SETH HEMBROM,INC,1985
DUMKA (ST),Bihar, PRITHIWI CHAND KISKU,INC,1985
GODDA,Bihar,SALAUDDIN,INC,1985
BANKA,Bihar,C. SINGH,INC,1985
BHAGALPUR,Bihar, BHAGWAT JHA AZAD,INC,1985
KHAGARIA,Bihar, CHANDRA SHEKHAR PRASAD VERMA,INC,1985
MONGHYR,Bihar, DEVENDRA PD. YADAV,INC,1985
BEGUSARAI,Bihar, KRISHNA SHAHI,INC,1985
NALANDA,Bihar, VIJAY KUMAR YADAV,CPI,1985
PATNA,Bihar, C. P. THAKUR,INC,1985
ARRAH,Bihar, BALI RAM BHAGAT,INC,1985
BUXAR,Bihar, KAMLA KANT TIWARI,INC,1985
SASARAM (SC),Bihar, JAGJIWAN RAM,ICJ,1985
AURANGABAD,Bihar, SATYENDRA NARAIN SINGH,INC,1985
JAHANABAD,Bihar, RAMASHARAY PD. SINGH,CPI,1985
NAWADA (SC),Bihar, KUNWAR RAM,INC,1985
GAYA (SC),Bihar, RAM SWAROOP RAM,INC,1985
CHATRA,Bihar, YOGESHWAR PRASAD YOGESH,INC,1985
KODARMA,Bihar, TILAK DHARI SINGH,INC,1985
GIRIDIH,Bihar, SARFRAJ AHMED,INC,1985
DHANBAD,Bihar, SHANKAR DAYAL SINGH,INC,1985
HAZARIBAGH,Bihar, DAMODAR PANDEY,INC,1985
RANCHI,Bihar, SHEO PRASAD SAHU,INC,1985
JAMSHEDPUR,Bihar, GOPESHWAR,INC,1985
SINGHBHUM (ST),Bihar, BEGUN SUMBRUI,INC,1985
KHUNTI (ST),Bihar, SIMON TIGGA,INC,1985
LOHARDAGA (ST),Bihar, SUMATI ORAON,INC,1985
BAGAHA (SC) ,Bihar,BHOLA RAUT ,INC,1985
BIKRAMGANJ ,Bihar,TAPESHWAR SINGH, INC,1985
PALAMAU (SC) ,Bihar,KAMLA KUMARI ,INC,1985
SURENDRANAGAR,Gujarat, JHALA DIGIVIJAYSINHJI PRATAPSINHJI,INC,1985
JAMNAGAR,Gujarat, JADEJA DAULATSINH PARTAP SINH,INC,1985
RAJKOT,Gujarat, MAVANI RAMABEN RAMJIBHAI,INC,1985
PORBANDAR,Gujarat, ODEDARA BHARATBHAI MALDEVJI,INC,1985
JUNAGADH,Gujarat, PATEL MOHANBHAI LALJIBHAI,INC,1985
AMRELI,Gujarat, RAVANI NAVINCHANDRABHAI PARMANANDDAS,INC,1985
BHAVNAGAR,Gujarat, GOHIL GIGABHAI BHAVUBHAI,INC,1985
DHANDHUKA (SC),Gujarat, NARSINHBHAI KARSANBHAI MAKWANA,INC,1985
AHMEDABAD,Gujarat, HAROOBHAI MEHTA,INC,1985
GANDHINAGAR,Gujarat, G.I.PATEL,INC,1985
MEHSANA,Gujarat, A.K.PATEL,BJP,1985
PATAN (SC),Gujarat, VANKAR PUNAMCHAND MITHABHAI,INC,1985
BANASKANTHA,Gujarat, B.K.GADHVI,INC,1985
SABARKANTHA,Gujarat, H.M.PATEL,JNP,1985
KAPADVANJ,Gujarat, SOLANKI NATAVERSINGH KESARISINGHJI,INC,1985
DOHAD (ST),Gujarat, DAMOR SOMJIBHAI PUNJABHAI,INC,1985
GODHRA,Gujarat, JAYDEEPSINHJI,INC,1985
KAIRA,Gujarat, AJITSINH FULSINHJI DYABHAI,INC,1985
ANAND,Gujarat, ISHVERBHAI KHODABHAI CHAVADA,INC,1985
BARODA,Gujarat, GAEKWAD RANJITSINH PRATAPSHINH,INC,1985
BROACH,Gujarat, PATEL AHMEDBHAI MOHAMMEDBHAI,INC,1985
SURAT,Gujarat, PATEL CHHAGANBHAI DEVABHAI,INC,1985
KUTCH ,Gujarat,USHABEN RAGHAVJI THAKKAR ,INC,1985
CHHOTA UDAIPUR (ST) ,Gujarat,RATHWA AMARSINH VIRIYABHAI ,INC,1985
MANDVI (ST) ,Gujarat,GAMIT CHHITUBHAI DEVJIBHAI ,INC,1985
BULSAR (ST) ,Gujarat,PATEL UTTAMBHAI HARJIBHAI ,INC,1985
KURUKSHETRA,Haryana, HARPAL SINGH,INC,1985
KARNAL,Haryana, CHIRANJI LAL,INC,1985
SONEPAT,Haryana, DHARAM PAL SINGH,INC,1985
ROHTAK,Haryana, HARDWARI LAL,INC,1985
FARIDABAD,Haryana, RAHIM KHAN,INC,1985
MAHENDRAGARH,Haryana, BIRENDER SINGH,INC,1985
BHIWANI,Haryana, BANSI LAL,INC,1985
HISSAR,Haryana, BIRINDER SINGH,INC,1985
AMBALA (SC) ,Haryana,RAM PRAKASH ,INC,1985
SIRSA (SC) ,Haryana,DALBIR SINGH ,INC,1985
MANDI,Himachal Pradesh,SUKH RAM,INC,1985
KANGRA,Himachal Pradesh,CHANDRESH KUMARI,INC,1985
SIMLA (SC) ,Himachal Pradesh,KRISHAN DUTT SULTANPURI,INC,1985
HAMIRPUR ,Himachal Pradesh,NARAIN CHAND ,INC,1985
GULBARGA,Karnataka, VEERENIRA PATIL,INC,1985
RAICHUR,Karnataka, B. V. DESAI,INC,1985
KOPPAL,Karnataka, H. G. RAMULU,INC,1985
BELLARY,Karnataka, BASAVARAJESWARI,INC,1985
DAVANGERE,Karnataka, CHANNAIAH ODEYAR,INC,1985
CHITRADURGA,Karnataka, K. H. RANGANATH,INC,1985
TUMKUR,Karnataka, G. S. BASAVARAJU,INC,1985
CHIKBALLAPUR,Karnataka, V. KRISHNA RAO,INC,1985
KOLAR (SC),Karnataka, V. VENKATESH,JNP,1985
KANAKAPURA,Karnataka, M. V. CHANDRASHEKARA MURTHY,INC,1985
BANGALORE NORTH,Karnataka, C. K. JAFFER SHARIEF,INC,1985
BANGALORE SOUTH,Karnataka, V. S. KRISHNA IYER,JNP,1985
MANDYA,Karnataka, K. V. SHANKARAGOWDA,JNP,1985
MYSORE,Karnataka, SRIKANTADATTA NARASIMHARAJA WADIYAR,INC,1985
MANGALORE,Karnataka, JANARDHANA POOJARY,INC,1985
HASSAN,Karnataka, H. N. NANJEGOWDA,INC,1985
CHIKMAGALUR,Karnataka, D. K. TARADEVI,INC,1985
SHIMOGA,Karnataka, T. V. CHANDRASHEKARAPPA,INC,1985
KANARA,Karnataka, G. DEVARAY NAIK,INC,1985
DHARWAD SOUTH,Karnataka, AZEEZ SAIT,INC,1985
DHARWAD NORTH,Karnataka, NAIKAR DYAMAPPA KALLAPPA,INC,1985
BELGAUM,Karnataka, SIDNAL SHANMUKHAPPA BASAPPA,INC,1985
CHIKKODI (SC),Karnataka, B. SHANKARANAD,INC,1985
BAGALKOT,Karnataka, PATIL HANMANTAGOUDA BHIMANAGOUDA,INC,1985
BIDAR (SC) ,Karnataka,NASING SURYAVANSI ,INC,1985
CHAMARAJANAGAR (SC) ,Karnataka,V. SREENIVASA PRASAD ,INC,1985
UDUPI ,Karnataka,OSCAR FERNANDES ,INC,1985
BIJAPUR ,Karnataka,GURADDI SHIVASHANKAREPPA MALLAPPA ,JNP,1985
CANNANORE,Kerala, MULIAPPALLI RAMACHANDRAN,INC,1985
BADAGARA,Kerala, K. P. UNNIKRISHNAN,ICS,1985
CALICUT,Kerala, K. G. ADIYODI,INC,1985
MANJERI,Kerala, EBRAHIM SULAMAN SAIT,MUL,1985
PONNANI,Kerala, G. M. BANATWALLA,MUL,1985
PALGHAT,Kerala, V. S. VIJAYARAGHAVAN,INC,1985
OTTAPALAM (SC),Kerala, K. R. NARAYANAN,INC,1985
TRICHUR,Kerala, P. A. ANTONY,INC,1985
MUKUNDAPURAM,Kerala, K. MOHANDAS,KCJ,1985
ERNAKULAM,Kerala, K. V. THOMAS,INC,1985
MUVATTUPUZHA,Kerala, GEORGE JOSEPH MUNDAKKAL (BABY),KCJ,1985
KOTTAYAM,Kerala, SURESH KURUP,CPM,1985
IDUKKI,Kerala, P. J. KURIAN,INC,1985
ALLEPPEY,Kerala, VAKKON PURUSHOTHAMAN,INC,1985
MAVELIKARA,Kerala, THAMPAN THOMAS,JNP,1985
ADOOR (SC),Kerala, K. K. KUNHAMBU,INC,1985
QUILON,Kerala, S. KRISHNA KUMAR,INC,1985
CHIRAYINKIL,Kerala, THALEKKUNNIL BASHEER,INC,1985
KASARAGOD ,Kerala,I. RAMA RAI ,INC,1985
TRIVANDRUM ,Kerala,A. CHARLES ,INC,1985
BHIND,Madhya Pradesh, KRISHNA SINGH,INC,1985
GWALIOR,Madhya Pradesh, MADHAVRAO JIWAJIRAO SCINDIA,INC,1985
GUNA,Madhya Pradesh, MAHENDRA SINGH,INC,1985
SAGAR (SC),Madhya Pradesh, NANDLAL CHOUDHARY,INC,1985
KHAJURAHO,Madhya Pradesh, CHATURVEDI VIDYAWATI,INC,1985
DAMOH,Madhya Pradesh, DAL CHANDRA JAIN,INC,1985
SATNA,Madhya Pradesh, AZIZ QURESHI,INC,1985
REWA,Madhya Pradesh, MARTAND SINGH,INC,1985
SIDHI (ST),Madhya Pradesh, MOTILAL SINGH,INC,1985
SHAHDOL (ST),Madhya Pradesh, DALBIR SINGH,INC,1985
RAIGARH (ST),Madhya Pradesh, PUSHPA DEVI,INC,1985
JANJGIR,Madhya Pradesh, PRABHAT KUMAR MISHRA,INC,1985
BILASPUR (SC),Madhya Pradesh, KHELAN RAM JANGDE,INC,1985
SARANGARH (SC),Madhya Pradesh, PARASRAM BHARADWAJ,INC,1985
RAIPUR,Madhya Pradesh, KAIYUR BHUSHAN,INC,1985
MAHASAMUND,Madhya Pradesh, VIDYACHARAN SHUKLA,INC,1985
KANKER (ST),Madhya Pradesh, ARVIND NETAM,INC,1985
BASTAR (ST),Madhya Pradesh, MANKURAM SODI,INC,1985
DURG,Madhya Pradesh, CHANDULAL CHANDRAKAR,INC,1985
RAJNANDGAON,Madhya Pradesh, SHIVENDRA BAHADUR SINGH,INC,1985
BALAGHAT,Madhya Pradesh, NANDKISHORE SHARMA,INC,1985
MANDLA (ST),Madhya Pradesh, MOHAN LAL,INC,1985
JABALPUR,Madhya Pradesh, AJAY NARAYAN MUSHRAN,INC,1985
SEONI,Madhya Pradesh, GARGISHANKER MISHRA,INC,1985
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC,1985
BETUL,Madhya Pradesh, ASLAM SHERKHAN,INC,1985
HOSHANGABAD,Madhya Pradesh, RAMESHWAR NIKHRA,INC,1985
BHOPAL,Madhya Pradesh, K. N. PRADHAN,INC,1985
VIDISHA,Madhya Pradesh, PRATAPBHANU KRISHNA GOPAL,INC,1985
RAJGARH,Madhya Pradesh, DIGVIJAI SINGH,INC,1985
SHAJAPUR (SC),Madhya Pradesh, BAPULAL MALVIYA,INC,1985
KHANDWA,Madhya Pradesh, KALICHARAN RAMRATAN,INC,1985
KHARGONE,Madhya Pradesh, SUBHASH YADAV,INC,1985
DHAR (ST),Madhya Pradesh, PRATAPSINGH BAGHEL,INC,1985
INDORE,Madhya Pradesh, PRAKASH CHAND SETHI,INC,1985
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN PAWAR,INC,1985
JHABUA (ST),Madhya Pradesh, DILEEP SINGH BHURIO,INC,1985
MORENA (SC) ,Madhya Pradesh,KAMMODILAL JATAV ,INC,1985
SURGUJA (ST) ,Madhya Pradesh,VIJAI PRATAP SINGH ,INC,1985
MANDSAUR ,Madhya Pradesh,BALKAVI BAIRAGI (NANDRAMDAS DWARKADAS) ,INC,1985
RATNAGIRI,Maharashtra, HUSEN DALWAI,INC,1985
KOLABA,Maharashtra, D. B. PATIL,PWP,1985
BOMBAY SOUTH,Maharashtra, DEORA MURLI,INC,1985
THANE,Maharashtra, GHOPAL SHANTARAM GOPAL,INC,1985
DAHANU (ST),Maharashtra, SHINGADA DAMU BARKU,INC,1985
MALEGAON (ST),Maharashtra, BHOYE SITARAM SAYAJI,INC,1985
DHULE,Maharashtra, (ST) BHOYE RESHAMA  MOTIRAM,INC,1985
ERANDOL,Maharashtra, VIJAYKUMAR NAVAL PATIL,INC,1985
JALGAON,Maharashtra, MAHAJAN YADAV SHIVRAM,INC,1985
BULDHANA (SC),Maharashtra, WASNIK MUKUL BALKRISHNA,INC,1985
AKOLA,Maharashtra, MADHUSUDAN ATMARAM VAIRALE,INC,1985
WASHIM,Maharashtra, GHULAM NABI AZAD,INC,1985
AMRAVATI,Maharashtra, CHOUDHARY USHATAI PRAKASH,INC,1985
RAMTEK,Maharashtra, NARSIMHA RAO P. V.,INC,1985
NAGPUR,Maharashtra, BANWARILAL BHAGWANDAS PUROHIT,INC,1985
BHANDARA,Maharashtra, KESHAORAO ATMARAMJI PARDHI,INC,1985
CHIMUR,Maharashtra, MUTTEMWAR VILAS BABURAO,INC,1985
CHANDRAPUR,Maharashtra, POTDUKHE SHANTARAM RAJESHWAR,INC,1985
WARDHA,Maharashtra, SATHE VASANT PURUSHOTTAM,INC,1985
YAVATMAL,Maharashtra, PATIL UTTAMRAO DEORAO,INC,1985
HINGOLI,Maharashtra, RATHODE UTTAMRAOJI BALIRAMJI,INC,1985
NANDED,Maharashtra, CHAVAN SHANKARRAO BHURAO,INC,1985
PARBHANI,Maharashtra, YADAV RAMRAO NARAYANRAO,INC,1985
JALNA,Maharashtra, BALASAHEB RAMRAO PAWAR,INC,1985
AURANGABAD,Maharashtra, SAHEBRAO P.DONGAONKAR,ICS,1985
BEED,Maharashtra, KSHIRSAGAR KEHSARBAI SONAJIRAO,INC,1985
LATUR,Maharashtra, PATIL SHIVRAJ VISHWANATH,INC,1985
OSMANABAD (SC),Maharashtra, ARVIND TULSHIRAMJI KAMBLE,INC,1985
PANDHARPUR (SC),Maharashtra, THORAT SANDIPAN BHAGWAN,INC,1985
AHMEDNAGAR,Maharashtra, GADAKH YESHWANTRAO KANKARRAO,INC,1985
KOPARGAON,Maharashtra, VIKHE EKNATHRAO ALIAS BALESAHEB VITHALRAO,INC,1985
KHED,Maharashtra, RAMKRISHNA MORE,INC,1985
PUNE,Maharashtra, GADIL VITHALRAO NARHARI,INC,1985
BARAMATI,Maharashtra,K. S. SAHEBRAO,JNP,1985
SATARA,Maharashtra, BHOSALE PRATAPRAO BABURAO,INC,1985
KARAD,Maharashtra, CHAVAN PREMALABAI DAJISAHEB,INC,1985
SANGLI,Maharashtra, PATIL PRAKASH VASANTRAO,INC,1985
