Constituency,State,MP,Party,Year,PC_NO,PC_TYPE,MONTH,CAND_SEX,TOTVOTPOLL
KAISERGANJ,Uttar Pradesh, RANA VIR SINGH,INC,1988,,,,,
KANNAUJ,Uttar Pradesh, SHEILA DIXIT,INC,1988,,,,,
KANPUR,Uttar Pradesh, NARESH CHANDRA CHATURVEDI,INC,1988,,,,,
KHALILABAD,Uttar Pradesh, CHANDRA SHEKHAR,INC,1988,,,,,
KHERI,Uttar Pradesh, USHA KUMARI,INC,1988,,,,,
KHURJA (SC),Uttar Pradesh, VEER SEN,INC,1988,,,,,
LALGANJ (SC),Uttar Pradesh, RAMDHAN,INC,1988,,,,,
LUCKNOW,Uttar Pradesh, SHEILA KAUL,INC,1988,,,,,
MACHHLISHAHR ,Uttar Pradesh,SRIPATI ,INC,1988,,,,,
MAHARAJGANJ,Uttar Pradesh, JITENDRA SINGH,INC,1988,,,,,
MAINPURI,Uttar Pradesh, BALRAM SINGH YADAV,INC,1988,,,,,
MATHURA,Uttar Pradesh, MANVENDRA SINGH,INC,1988,,,,,
MEERUT,Uttar Pradesh, MOHSINA KIDWAI,INC,1988,,,,,
MIRZAPUR,Uttar Pradesh, UMA KANT MISHRA,INC,1988,,,,,
MISRIKH (SC),Uttar Pradesh, SANKATA PRASAD,INC,1988,,,,,
MOHANLALGANJ (SC),Uttar Pradesh, JAGANNATH PD.,INC,1988,,,,,
MORADABAD,Uttar Pradesh, HAFIZ MOHD. SIDDIQUE,INC,1988,,,,,
MUZAFFARNAGAR,Uttar Pradesh, DHARAM VIR SINGH,INC,1988,,,,,
NAINITAL,Uttar Pradesh, SATENDRA CHANDRA,INC,1988,,,,,
PADRAUNA ,Uttar Pradesh,CHANDRA PRATAP NARAIN SINGH ,INC,1988,,,,,
PHULPUR,Uttar Pradesh, RAM PUJAN PATEL,INC,1988,,,,,
PILIBHIT,Uttar Pradesh, BHANU PRATAP SINGH,INC,1988,,,,,
PRATAPGARH,Uttar Pradesh, RAJA DINESH SINGH,INC,1988,,,,,
RAE BARELI,Uttar Pradesh, ARUN KUMAR NEHRU,INC,1988,,,,,
RAMPUR,Uttar Pradesh, ZULFIQUAR ALI KHAN,INC,1988,,,,,
ROBERTSGANJ (SC),Uttar Pradesh, RAM PYARE,INC,1988,,,,,
SAHARANPUR ,Uttar Pradesh,YASHPAL SINGH ,INC,1988,,,,,
SAIDPUR (SC),Uttar Pradesh, RAM SMUJHAWAN,INC,1988,,,,,
SALEMPUR,Uttar Pradesh, RAM NAGINA MISRA,INC,1988,,,,,
SAMBHAL,Uttar Pradesh, SHANTI DEVI,INC,1988,,,,,
SHAHABAD,Uttar Pradesh, DHARAMGAJ SINGH,INC,1988,,,,,
SHAHJAHANPUR,Uttar Pradesh, JITENDRA PRASAD,INC,1988,,,,,
SITAPUR,Uttar Pradesh, RAJENDRA KUMARI,INC,1988,,,,,
SULTANPUR,Uttar Pradesh, RAJ KARAN SINGH,INC,1988,,,,,
TEHRI GARHWAL ,Uttar Pradesh,BRAHMA DUTT ,INC,1988,,,,,
UNNAO,Uttar Pradesh, ZIAURRAHMAN ANSARI,INC,1988,,,,,
VARANASI,Uttar Pradesh, SHYAM LAL YADAVA,INC,1988,,,,,
ALIPURDUARS (ST) ,West Bengal,PIJUS TIRKEY ,RSP,1988,,,,,
ARAMBAGH ,West Bengal,ANIL BASU ,CPM,1988,,,,,
ASANSOL,West Bengal, ANADA GOPAL MUKHERJEE,INC,1988,,,,,
BALURGHAT (SC),West Bengal, PALAS BARMAN,RSP,1988,,,,,
BANKURA,West Bengal, ACHARIA BASUDEB,CPM,1988,,,,,
BARASAT,West Bengal, TARUN KANTI GHOSH,INC,1988,,,,,
BARRACKPORE,West Bengal, DEBI GHOSAL,INC,1988,,,,,
BASIRHAT ,West Bengal,INDRAJIT GUPTA ,CPI,1988,,,,,
BERHAMPORE ,West Bengal,ATISH CHANDRA SINHA ,INC,1988,,,,,
BIRBHUM (SC) ,West Bengal,GADAHAR SAHA ,CPM,1988,,,,,
BOLPUR,West Bengal,S. CHATTERJEE,CPM,1988,,,,,
BURDWAN,West Bengal, SUDHIR RAY,CPM,1988,,,,,
CALCUTTA NORTH EAST ,West Bengal,AJIT KUMAR PANJA ,INC,1988,,,,,
CALCUTTA NORTH WEST ,West Bengal,ASHOK KUMAR SEN ,INC,1988,,,,,
CALCUTTA SOUTH,West Bengal, BHOLA NATH SEN,INC,1988,,,,,
CONTAI,West Bengal, PHULRENU GUHA,INC,1988,,,,,
COOCH BEHAR (SC) ,West Bengal,AMAR ROY PRODHAN, FBL,1988,,,,,
DARJEELING,West Bengal, ANANDA PRASAD PATHAK,CPM,1988,,,,,
DIAMOND HARBOUR,West Bengal, AMAL DATTA,CPM,1988,,,,,
DUM DUM,West Bengal, ASUTOSH LAW,INC,1988,,,,,
DURGAPUR (SC),West Bengal, PURNA CHANDRA MALIK,CPM,1988,,,,,
HOOGHLY,West Bengal, INDUMATI BHATTACHARYYA,INC,1988,,,,,
HOWRAH,West Bengal, PRIYA RANJAN DAS  MUNSHI,INC,1988,,,,,
JADAVPUR,West Bengal, MAMATA BANERJEE,INC,1988,,,,,
JALPAIGURI,West Bengal, MANIK SANYAL,CPM,1988,,,,,
JANGIPUR,West Bengal, ABEDIN ZAINAL,CPM,1988,,,,,
JHARGRAM (ST),West Bengal, MOTILAL HANSDA,CPM,1988,,,,,
JOYNAGAR (SC),West Bengal, SANT KUMAR MANDAL,RSP,1988,,,,,
KATWA,West Bengal, SAIFUDDIN CHOWDHURY,CPM,1988,,,,,
KRISHNAGAR,West Bengal, RENU PADA DAS,CPM,1988,,,,,
MALDA,West Bengal, ABU BARKAT ATAUL GHANI KHAN CHOUDHURY,INC,1988,,,,,
MATHURAPUR (SC),West Bengal, MANORANJAN HALDER,INC,1988,,,,,
MIDNAPORE,West Bengal, NARAYAN CHOUBEY,CPI,1988,,,,,
MURSHIDABAD,West Bengal, SYED MUSUDAL HOSSAIN,CPM,1988,,,,,
NABADWIP (SC),West Bengal, BIBHA GHOSH (GOSWAMI),CPM,1988,,,,,
PANSKURA,West Bengal, GEETA MUKHERJEE,CPI,1988,,,,,
PURULIA,West Bengal, CHITTARANJAN MAHATA,FBL,1988,,,,,
RAIGANJ,West Bengal, GOLAM YAZDANI,INC,1988,,,,,
SERAMPORE,West Bengal, BIMAL KANTI GHOSH,INC,1988,,,,,
TAMLUK,West Bengal, MISHRA SATYAGOPAL,CPM,1988,,,,,
ULUBERIA,West Bengal, HANNAN MOLLAH,CPM,1988,,,,,
VISHNUPUR (SC),West Bengal, AJIT KUMAR SAHA,CPM,1988,,,,,
ADILABAD,Andhra, P.NARASA REDDY,INC,1989,,,,,
AMALAPURAM (SC),Andhra, KUSUMA KRISHNA MURTY,INC,1989,,,,,
ANAKAPALLI,Andhra, KONATHALA RAMAKRISHNA,INC,1989,,,,,
ANANTAPUR,Andhra, ANANTHA VENKATA REDDY,INC,1989,,,,,
BAPATLA,Andhra, SALAGALA BENJAMIN,INC,1989,,,,,
BHADRACHALAM (ST),Andhra, KARIYEDDULA KAMALA KUMARI,INC,1989,,,,,
BOBBILI,Andhra, KOMBURI RAM MOHAN RAO,TDP,1989,,,,,
CHITTOOR,Andhra, GNANENDRA REDDY,INC,1989,,,,,
CUDDAPAH,Andhra, Y.S.RAJASEKHAR REDDY,INC,1989,,,,,
ELURU,Andhra, KRISHANA,INC,1989,,,,,
GUNTUR,Andhra, N.G.RANGA,INC,1989,,,,,
HANAMKONDA,Andhra, KAMALUDDIN AHMED,INC,1989,,,,,
HINDUPUR,Andhra, S.GANGADHARA,INC,1989,,,,,
HYDERABAD,Andhra, SULTAN SALAHUDDIN OWAISI,MIM,1989,,,,,
KAKINADA,Andhra, MALLIPUDI MANGAPATHI PALLAMRAJU,INC,1989,,,,,
KARIMNAGAR,Andhra, CHOKKA RAO JUVVADI,INC,1989,,,,,
KHAMMAM,Andhra, JALAGAM VENGAL RAO,INC,1989,,,,,
KURNOOL,Andhra, KOTLA VIJAY BHASKARA REDDY,INC,1989,,,,,
MACHILIPATNAM,Andhra, SAMBASIVARAO KAVURI,INC,1989,,,,,
MAHABUBNAGAR,Andhra, MALLIKARJUN,INC,1989,,,,,
MEDAK,Andhra, BAGAREDDY M.,INC,1989,,,,,
MIRYALGUDA ,Andhra,B.N.REDDY ,INC,1989,,,,,
NAGARKURNOOL (SC),Andhra, ANATHA RAMULU MULLU,INC,1989,,,,,
NALGONDA,Andhra, CHALILAM SRINIVASA RAO,INC,1989,,,,,
NANDYAL,Andhra, BOJJA VENKATA REDDY,INC,1989,,,,,
NARASAPUR,Andhra, BHUPATIRAJU VIJAYA KUMAR RAJU,TDP,1989,,,,,
NARASARAOPET,Andhra, KASU VENKATA KRISHNA REDDY,INC,1989,,,,,
NELLORE (SC),Andhra, PUTCHALAPALLI PENCHALAIAH,INC,1989,,,,,
NIZAMABAD,Andhra, TADURI BALA GOUD,INC,1989,,,,,
ONGOLE,Andhra, RAJAMOHANA REDDY MEKAPATI,INC,1989,,,,,
PARVATHIPURAM (ST),Andhra, VIJAYARAMARAJU SATRUCHARLA,INC,1989,,,,,
PEDDAPALLI (SC),Andhra, G.VENKAT SWAMY,INC,1989,,,,,
RAJAHMUNDRY,Andhra, JAMUNA,INC,1989,,,,,
RAJAMPET,Andhra, ANNAIAHGARI SAI PRATHAP,INC,1989,,,,,
SECUNDERABAD,Andhra, T.MANEMMA,INC,1989,,,,,
SIDDIPET (SC),Andhra, YELLAIAH NANDI,INC,1989,,,,,
SRIKAKULAM ,Andhra,VISWANATHAM KANITHI,INC,1989,,,,,
TENALI,Andhra, BASAVAPANNAYYA SINGAM,INC,1989,,,,,
TIRUPATHI (SC),Andhra, CHINTA MOHAN,INC,1989,,,,,
VIJAYAWADA,Andhra, CHENNUPATI VIDYA,INC,1989,,,,,
VISAKHAPATNAM,Andhra, UMA GAJAPATHI RAJU POOSAPATI,INC,1989,,,,,
WARANGAL,Andhra, SURENDER REDDY RAMASAHAYAM,INC,1989,,,,,
ARARIA (SC),Bihar, SUKDEO PASWAN,JD,1989,,,,,
ARRAH,Bihar, RAMESHWAR PRASAD,IPF,1989,,,,,
AURANGABAD ,Bihar,RAM NARESH SINGH ,JD,1989,,,,,
BAGAHA (SC),Bihar,MAHENDRA BAITHA ,JD,1989,,,,,
BALIA,Bihar, SURYANARAYAN SINGH,CPI,1989,,,,,
BANKA,Bihar, PRATAP SINGH,JD,1989,,,,,
BARH,Bihar, NITISH KUMAR,JD,1989,,,,,
BEGUSARAI,Bihar, LALIT VIJAY SINGH,JD,1989,,,,,
BETTIAH,Bihar, DHARMESH PRASSAD VERMA,JD,1989,,,,,
BHAGALPUR,Bihar, CHUN CHUN PRASAD YADAV,JD,1989,,,,,
BIKRAMGANJ,Bihar, RAM PARSAD SINGH,JD,1989,,,,,
BUXAR,Bihar, TEJ NARAIN SINGH,CPI,1989,,,,,
CHAPRA,Bihar, LALOO PRASSAD,JD,1989,,,,,
CHATRA,Bihar, UPENDER NATH VERMA,JD,1989,,,,,
DARBHANGA,Bihar, SHAKEEUL RAHMAN,JD,1989,,,,,
DHANBAD ,Bihar,A.K.ROY ,M-COR,1989,,,,,
DUMKA (ST),Bihar, SHIBU SOHAN,JMM,1989,,,,,
GAYA (SC),Bihar, INSWAR CHAUDHARY,JD,1989,,,,,
GIRIDIH,Bihar, RAM DAS SINGH,BJP,1989,,,,,
GODDA,Bihar, JANARDHAN YADAV,BJP,1989,,,,,
GOPALGANJ,Bihar, RAJMANGAL MISHRA,JD,1989,,,,,
HAJIPUR (SC),Bihar, RAM VILAS PASWAN,JD,1989,,,,,
HAZARIBAGH,Bihar, YADUNATH PANDEY,BJP,1989,,,,,
JAHANABAD,Bihar, RAMASHRAY PRASAD SINGH,CPI,1989,,,,,
JAMSHEDPUR,Bihar, SHAILENDRA MAHTO,JMM,1989,,,,,
JHANJHARPUR,Bihar, DEVANDRA PRASSAD YADAV,JD,1989,,,,,
KATIHAR,Bihar, YUVARJ,JD,1989,,,,,
KHAGARIA,Bihar, RAM SHARAN YADAV,JD,1989,,,,,
KHUNTI (ST),Bihar, KARIA MUNDA,BJP,1989,,,,,
KISHANGANJ,Bihar, M.J.AKBAR,INC,1989,,,,,
KODARMA,Bihar, RITLAL PRASAD VERMA,BJP,1989,,,,,
LOHARDAGA (ST),Bihar, SUMATI ORAON,INC,1989,,,,,
MADHEPURA,Bihar, RAMESH KUMAR YADAV RAVI,JD,1989,,,,,
MADHUBANI,Bihar, BHOGENDRA JHA,CPI,1989,,,,,
MAHARAJGANJ,Bihar, CHANRASBEKHAR,JD,1989,,,,,
MONGHYR,Bihar, DHANRAJ SINGH,JD,1989,,,,,
MOTIHARI,Bihar, RADHA MOHAN SINGH,BJP,1989,,,,,
MUZAFFARPUR,Bihar, GEORGE FARNANDES,JD,1989,,,,,
NALANDA,Bihar, RAM SAROOP PRASAD,INC,1989,,,,,
NAWADA (SC),Bihar, PREM PARDEEP,CPM,1989,,,,,
PALAMAU (SC) ,Bihar,JAORWAR RAM,JD,1989,,,,,
PATNA,Bihar, SHAILENDRA NATH SRIVASTAVA,BJP,1989,,,,,
PURNEA,Bihar, TASLIMUDIN,JD,1989,,,,,
RAJMAHAL (ST),Bihar, SIMON MARANDI,JMM,1989,,,,,
RANCHI,Bihar, SUBODH KANT SAHAY,JD,1989,,,,,
ROSERA (SC),Bihar, DASHAI CHAUDHARY,JD,1989,,,,,
SAHARSA,Bihar, SURYA NR. YADAV,JD,1989,,,,,
SAMASTIPUR,Bihar, MANJAI LAL,JD,1989,,,,,
SASARAM (SC),Bihar, CHHEDI PASWAN,JD,1989,,,,,
SHEOHAR,Bihar, HARI KISHOR SINGH,JD,1989,,,,,
SINGHBHUM (ST),Bihar, BAGUA SAMBURI,INC,1989,,,,,
SITAMARHI,Bihar, HUKUMDEO NARAYAN YADAV,JD,1989,,,,,
SIWAN,Bihar, JANARDAN TIWARI,BJP,1989,,,,,
VAISHALI,Bihar, USHA SINGH,JD,1989,,,,,
CHANDNI CHOWK,Delhi, JAI PRAKASH AGGARWAL,INC,1989,,,,,
DELHI SADAR,Delhi, VIJAY KUMAR MALHOTRA,BJP,1989,,,,,
EAST DELHI,Delhi, H. K. L. BHAGAT,INC,1989,,,,,
KAROL BAGH (SC) ,Delhi,KALKA DASS ,BJP ,1989,,,,,
NEW DELHI ,Delhi,LAL KRISHNA ADVANI ,BJP,1989,,,,,
OUTER DELHI,Delhi, TARIF SINGH,JD,1989,,,,,
SOUTH DELHI,Delhi, MADAN LAL KHURANA,BJP,1989,,,,,
AHMEDABAD,Gujarat, HARIN PATHAK,BJP,1989,,,,,
AMRELI,Gujarat, MANUBHAI KOTADIYA,JD,1989,,,,,
ANAND,Gujarat, PATEL NATHUBHAI MANIBHAI,BJP,1989,,,,,
BANASKANTHA,Gujarat, SHAH JAYANTILAL VIRCHANDBHAI,JD,1989,,,,,
BARODA,Gujarat, KOKO ALIAS PRAKASH KANUBHAI BRAHMBHATT,JD,1989,,,,,
BHAVNAGAR,Gujarat, JAMOD SHASHIKANT MAVJIBHAI,INC,1989,,,,,
BROACH,Gujarat, DESHMUKH CHANDUBHAI SHAMBHAI,BJP,1989,,,,,
BULSAR (ST),Gujarat, AJUNBHAI LALLUBHAI PATEL ,JD,1989,,,,,
CHHOTA UDAIPUR (ST) ,Gujarat,RAHAWA NARANBHAI JAMALBHAI ,JD,1989,,,,,
DHANDHUKA (SC),Gujarat, RATILAL KALIDAS VERMA,BJP,1989,,,,,
DOHAD (ST),Gujarat, SOMAIBAHI DAMOR,INC,1989,,,,,
GANDHINAGAR,Gujarat, VEGHELA SHANKARJI LAXMANJI,BJP,1989,,,,,
GODHRA,Gujarat, PATEL SHANTILA PURUSHOTTAMDAS,JD,1989,,,,,
JAMNAGAR ,Gujarat,KORADIYA CHANDRESH KUMAR VALJIBHAI (CHANDRESH PATEL) ,BJP,1989,,,,,
JUNAGADH,Gujarat, SHEKHADA GOVINDHHAL KANJIBHAI,JD,1989,,,,,
KAIRA,Gujarat, CHAUHAN PRABHATSINH HATHISINH,JD,1989,,,,,
KAPADVANJ,Gujarat, GABHAJI MANGAJI THAKOR,BJP,1989,,,,,
KUTCH ,Gujarat,BABU BHAI MEGHJI SHAH ,BJP,1989,,,,,
MANDVI (ST) ,Gujarat,GHAMIT CHHITUBHAI DEVIBHAI ,INC,1989,,,,,
MEHSANA,Gujarat, A.K.PATEL,BJP,1989,,,,,
PATAN (SC),Gujarat, CHAWADA KHEM CHANDBHAI SOMABHAI,JD,1989,,,,,
PORBANDAR,Gujarat, MANVAR BALVANTBHAI BACHUBHAI,JD,1989,,,,,
RAJKOT ,Gujarat,VEKARIA SHIVLAL NAGIBHAI ,BJP,1989,,,,,
SABARKANTHA,Gujarat, MAGANBHAI MANIBHAI PATEL,JD,1989,,,,,
SURAT,Gujarat, KASHIRAM RANA,BJP,1989,,,,,
SURENDRANAGAR,Gujarat, KOLI PATEL SOMABHAI GANDABHI,BJP,1989,,,,,
AMBALA (SC) ,Haryana,RAM PARKASH ,INC,1989,,,,,
BHIWANI,Haryana, BANSI LAL,INC,1989,,,,,
FARIDABAD,Haryana, BHAJAN LAL,INC,1989,,,,,
HISSAR,Haryana, JAI PARKASH,JD,1989,,,,,
KARNAL,Haryana, CHIRANJIT LAL,INC,1989,,,,,
KURUKSHETRA,Haryana, GURDIAL SINGH SAINI,JD,1989,,,,,
MAHENDRAGARH,Haryana, BIRENDER SINGH,JD,1989,,,,,
ROHTAK,Haryana, DEVI LAL,JD,1989,,,,,
SIRSA (SC) ,Haryana,HET RAM ,JD,1989,,,,,
SONEPAT,Haryana, KAPIL DEV,JD,1989,,,,,
HAMIRPUR,Himachal Pradesh,THAKUR PREM KUMAR DHUMAL ,BJP,1989,,,,,
KANGRA,Himachal Pradesh, SHANTA KUMAR,BJP,1989,,,,,
MANDI,Himachal Pradesh, MAHESHWAR SINGH,BJP,1989,,,,,
SIMLA (SC) ,Himachal Pradesh,KRISHAN DUTT SULTAN PURI ,INC,1989,,,,,
BAGALKOT,Karnataka, PATIL SUBHASH TAMMANNAPPA,INC,1989,,,,,
BANGALORE NORTH,Karnataka, C.K.JAFFER SHARIEFF,INC,1989,,,,,
BANGALORE SOUTH,Karnataka, R.GUNDU RAO,INC,1989,,,,,
BELGAUM,Karnataka, SIDNAL SHANMUKAPPA BASSAPPA,INC,1989,,,,,
BELLARY,Karnataka, BASAVARAJESWERI,INC,1989,,,,,
BIDAR (SC) ,Karnataka,NARSINGRAO SURYA VANSHI ,INC,1989,,,,,
BIJAPUR ,Karnataka,GUDADINNI BASAGONDAPPA KADAPPA ,INC,1989,,,,,
CHAMARAJANAGAR (SC) ,Karnataka,V.SRINIVASA PRASAD ,INC,1989,,,,,
CHIKBALLAPUR,Karnataka, V.KRISHNA RAO,INC,1989,,,,,
CHIKKODI (SC),Karnataka, B.SHANKARANAND,INC,1989,,,,,
CHIKMAGALUR,Karnataka, D.M.PUTTE GOWDA,INC,1989,,,,,
CHITRADURGA,Karnataka, C.P.MUDALAGIRIYAPPA,INC,1989,,,,,
DAVANGERE,Karnataka, CHANNAIAH ODEYAR,INC,1989,,,,,
DHARWAD NORTH,Karnataka, D.K.NAIKAR,INC,1989,,,,,
DHARWAD SOUTH,Karnataka, MUJAHID B.M.,INC,1989,,,,,
GULBARGA,Karnataka, B.G.JAWALI,INC,1989,,,,,
HASSAN,Karnataka, H.C.SRIKANTAIAH,INC,1989,,,,,
KANAKAPURA,Karnataka, M.V.CHANDRASHEKHARA MURTHY,INC,1989,,,,,
KANARA,Karnataka, DEVARAY NAIK G,INC,1989,,,,,
KOLAR (SC),Karnataka, Y.RAMAKRISHNA,INC,1989,,,,,
KOPPAL,Karnataka, BASAVARAJ PATIL,JD,1989,,,,,
MANDYA,Karnataka, G.MADE GOWDA,INC,1989,,,,,
MANGALORE,Karnataka, JANARDHANA POOJARY,INC,1989,,,,,
MYSORE,Karnataka, SRIKANTADATTA NARASIMBHARAJ WADEYAR,INC,1989,,,,,
RAICHUR,Karnataka, R.AMBANNA NAIK DORE,INC,1989,,,,,
SHIMOGA,Karnataka, T.V.CHANDRASHEKARAPPA,INC,1989,,,,,
TUMKUR,Karnataka, G.S.BASAVARAJ,INC,1989,,,,,
UDUPI ,Karnataka,OSCAR PERNANDES,INC,1989,,,,,
ADOOR (SC),Kerala, KODIKUNNIL SURESH,INC,1989,,,,,
ALLEPPEY,Kerala, VAKKOM PURUSHOTHAM,INC,1989,,,,,
BADAGARA,Kerala, K. P. UNNIKRISHNAN,ICS(SCS),1989,,,,,
CALICUT,Kerala, K. MURALEEDHARAN,INC,1989,,,,,
CANNANORE,Kerala, MULLAPPALLY RAMACHANDRAN,INC,1989,,,,,
CHIRAYINKIL,Kerala, THALEKUNNIL BASHEER,INC,1989,,,,,
ERNAKULAM,Kerala, K. V. THOMAS,INC,1989,,,,,
IDUKKI,Kerala, PALAI K. M. MATHEW,INC,1989,,,,,
KASARAGOD ,Kerala,M. RAMMANA RAI ,CPM,1989,,,,,
KOTTAYAM,Kerala, RAMESH CHENNITHALA,INC,1989,,,,,
MANJERI,Kerala, EBRAHIM SULAIMAN SAIT,MUL,1989,,,,,
MAVELIKARA,Kerala, P. J. KURIEN,INC,1989,,,,,
MUKUNDAPURAM,Kerala, SAVITHRI LAKSHMANAN,INC,1989,,,,,
MUVATTUPUZHA,Kerala, P. C. THOMAS,KCM,1989,,,,,
OTTAPALAM (SC),Kerala, K. R. NARAYANAN,INC,1989,,,,,
PALGHAT,Kerala, A. VIJAYARAGHAVAN,CPM,1989,,,,,
PONNANI,Kerala, G. M. BANAT WALIA,MUL,1989,,,,,
QUILON,Kerala, S. KRISHNAKUMAR,INC,1989,,,,,
TRICHUR,Kerala, P. A. ANTONY,INC,1989,,,,,
TRIVANDRUM ,Kerala,A. CHARLES ,INC,1989,,,,,
BALAGHAT,Madhya Pradesh, KANKAR MUNJARE,IND,1989,,,,,
BASTAR (ST),Madhya Pradesh, MANKURAM SODI,INC,1989,,,,,
BETUL,Madhya Pradesh, ARIF BEG,BJP,1989,,,,,
BHIND,Madhya Pradesh, NARSINGH RAO DIXIT,BJP,1989,,,,,
BHOPAL,Madhya Pradesh, SUSHIL CHANDRA VERMA,BJP,1989,,,,,
BILASPUR (SC),Madhya Pradesh, RESHAM LAL JANGADE,BJP,1989,,,,,
CHHINDWARA,Madhya Pradesh, KAMAL NATH,INC,1989,,,,,
DAMOH,Madhya Pradesh, LOKENDRA SNGH,BJP,1989,,,,,
DHAR (ST),Madhya Pradesh, SURAJ BHANU SHIV BHANU SOLANKI,INC,1989,,,,,
DURG,Madhya Pradesh, PURUSHOTTAM KAUSHIK,JD,1989,,,,,
GUNA,Madhya Pradesh, VIJAYA RAJE SCINDIA,BJP,1989,,,,,
GWALIOR,Madhya Pradesh, MADHAVA RAO SCINDIYA JEEWAJI RAO,INC,1989,,,,,
HOSHANGABAD,Madhya Pradesh, SARTAJ SINGH,BJP,1989,,,,,
INDORE,Madhya Pradesh, SUMITRA MAHAJAN,BJP,1989,,,,,
JABALPUR,Madhya Pradesh, BABURAO PRANJPE,BJP,1989,,,,,
JANJGIR,Madhya Pradesh, DALIP SINGH JUDEO,BJP,1989,,,,,
JHABUA (ST),Madhya Pradesh, DILEEPSINGH BHURIA,INC,1989,,,,,
KANKER (ST),Madhya Pradesh, ARVIND NETAM,INC,1989,,,,,
KHAJURAHO,Madhya Pradesh, UMABHARTI,BJP,1989,,,,,
KHANDWA,Madhya Pradesh, AMRITLAL (MANNIBHAI),BJP,1989,,,,,
KHARGONE,Madhya Pradesh, RAMESHWAR PATHIDAR,BJP,1989,,,,,
MAHASAMUND,Madhya Pradesh, VIDYACHARAN SHUKLA,JD,1989,,,,,
MANDLA (ST),Madhya Pradesh, MOHAN LAL,INC,1989,,,,,
MANDSAUR ,Madhya Pradesh,LAXMINARAYAN PANDEY ,BJP,1989,,,,,
MORENA (SC) ,Madhya Pradesh,CHHAVIRAM ,BJP,1989,,,,,
RAIGARH (ST),Madhya Pradesh, NAND KUMAR SAI,BJP,1989,,,,,
RAIPUR,Madhya Pradesh, RAMESH BAIS,BJP,1989,,,,,
RAJGARH,Madhya Pradesh, PYARELA KHANDELWAR,BJP,1989,,,,,
RAJNANDGAON,Madhya Pradesh, DHARAM PAL GUPTA,BJP,1989,,,,,
REWA,Madhya Pradesh, YAMUNA PRASAD SHASTRI,JD,1989,,,,,
SAGAR (SC),Madhya Pradesh, SHANKAR LAL,BJP,1989,,,,,
SARANGARH (SC),Madhya Pradesh, PARASRAM BHARDWAJ,INC,1989,,,,,
SATNA,Madhya Pradesh, SIKHENDRA SINGH,BJP,1989,,,,,
SEONI,Madhya Pradesh, PRAHLAD SINGH,BJP,1989,,,,,
SHAHDOL (ST),Madhya Pradesh, DANPAT SINGH PARASTE,JD,1989,,,,,
SHAJAPUR (SC),Madhya Pradesh, PHOOL CHAND VERMA,BJP,1989,,,,,
SIDHI (ST),Madhya Pradesh, JAGANNATH SINGH,BJP,1989,,,,,
SURGUJA (ST) ,Madhya Pradesh,LARANGSAI ,BJP,1989,,,,,
UJJAIN (SC),Madhya Pradesh, SATYANARAYAN JATIYA,BJP,1989,,,,,
VIDISHA,Madhya Pradesh, RAGHAV JI,BJP,1989,,,,,
AHMEDNAGAR,Maharashtra, GADAKH .Y.K.,INC,1989,,,,,
AKOLA,Maharashtra, PHUNDKAR PANDURANG PUNDLIK,BJP,1989,,,,,
AMRAVATI,Maharashtra, SUDAM DESHMUKH,CPI,1989,,,,,
AURANGABAD,Maharashtra, MOROSHWAR SAVE,IND,1989,,,,,
BARAMATI,Maharashtra, PATIL SHANKARRAO BAJIRAO,INC,1989,,,,,
BEED,Maharashtra, DHAKNO BABANRAO DADABA,JD,1989,,,,,
BHANDARA,Maharashtra, KHUSHAL PARASRAM SOPCHE,BJP,1989,,,,,
BOMBAY NORTH ,Maharashtra,RAM NAIK ,BJP,1989,,,,,
BOMBAY NORTH CENTRAL ,Maharashtra,VIDYADHAR SAMBHAJI GOKHALE ,SHS,1989,,,,,
BOMBAY NORTH EAST MEHTA ,Maharashtra,JAYAWANTI NAVINCHANDRA ,BJP,1989,,,,,
BOMBAY NORTH WEST ,Maharashtra,SUNIL DUTT ,INC,1989,,,,,
BOMBAY SOUTH,Maharashtra, DEORA MURLI,INC,1989,,,,,
BOMBAY SOUTH CENTRAL ,Maharashtra,VAMANRAO MAHADIK ,IND,1989,,,,,
BULDHANA (SC),Maharashtra, KALE SUKHDEO NANDAJI,BJP,1989,,,,,
CHANDRAPUR,Maharashtra, POTDUKHE SHANTARAM RAJESHWAR,INC,1989,,,,,
CHIMUR,Maharashtra, SHIWNKAR MANOHARRAO SUKAJI,BJP,1989,,,,,
DAHANU (ST),Maharashtra, DAMODAR BARAKU SHINGADA,INC,1989,,,,,
DHULE,Maharashtra, (ST) BHOY RESHMA MOTIRAM,INC,1989,,,,,
ERANDOL,Maharashtra, PATIL UTTAMRAO LAXMANRAO,BJP,1989,,,,,
HINGOLI,Maharashtra, UTTAM RATHOD,INC,1989,,,,,
ICHALKARANJI,Maharashtra, MANE BALASAHEB ALAIS RAJARAM SHANKARRAO,INC,1989,,,,,
JALGAON,Maharashtra, MAHAJAN YADAV SHIVRAM,INC,1989,,,,,
JALNA,Maharashtra, PUNDLIK HARI DANWE,BJP,1989,,,,,
KARAD,Maharashtra, CHAVAN PREMALABAI DAJISAHEB,INC,1989,,,,,
KHED,Maharashtra, BANKHELE KISANRAO BABURAO,JD,1989,,,,,
KOLABA,Maharashtra, ANTULAY A. R.,INC,1989,,,,,
